ResourceID,brocade.id,card,order,source_field,source_code,Annotation (nl),Annotation Language,Annotation Type
d05a0f4b-1e9a-5ff2-bd7a-71acb48d649a,tg:mpmbr:1043_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
5a2a6374-1af5-5540-a281-ffe3f81e17ce,tg:mpmbr:1210_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
626dddf5-1db5-5569-bc9f-c18edc09cf6a,tg:mpmbr:1069_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 380-383.</p>
","<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 380-383.</p>
",Nederlands,remarks
a54f633d-8a6f-5710-a5da-e56cd6427889,tg:mpmbr:1205_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een bijlage.</p>
","<p>Bevat een bijlage.</p>
",Nederlands,remarks
caed6b14-ef63-5c3d-9713-8bfdb1505b38,tg:mpmbr:1154_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
b55a08f4-d8d1-559d-b124-806d58ef3bdf,tg:mpmbr:934_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat 1 wit kantmonster</p>
","<p>Bevat 1 wit kantmonster</p>
",Nederlands,remarks
1e1d1b19-acc7-5c9a-b112-0418550c2c27,tg:mpmbr:1068_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 376-379.</p>
","<p>Bevat een rekening courant.<br />
De bijlage is verkeerdelijk ingebonden als p. 376-379.</p>
",Nederlands,remarks
fa801789-c02e-5f93-8c2c-949efb59faa8,tg:mpmbr:1146_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
99c19837-f9c5-561d-a8cb-9b618c950668,tg:mpmbr:1184_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een memorie over ingeladen papier.</p>
","<p>Bevat een memorie over ingeladen papier.</p>
",Nederlands,remarks
cd83fcdd-536e-5067-a7e0-748298d14f31,tg:mpmbr:1019_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat 2 rekeningen courant.</p>
","<p>Bevat 2 rekeningen courant.</p>
",Nederlands,remarks
f34514ef-4d11-5c1c-92aa-c5f8e5a1acbd,tg:mpmbr:1072_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat een rekening courant.</p>
","<p>Bevat een rekening courant.</p>
",Nederlands,remarks
4213ef06-8114-5bde-a72b-c8ce699e1550,tg:mpmbr:1178_#1,e22_AnnotationsMaterial,1,note.mpmsup,"<p>Bevat twee rekeningen courant.</p>
","<p>Bevat twee rekeningen courant.</p>
",Nederlands,remarks
