card,order,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location_begin  (nl),adm.uuid_mat,Volgnummer (nl),ResourceID,brocade.id,Source Note (nl),Source Note Type,Source Note Language
e22_Items,1,mpmbr,tg:mpmbr:786_#1,Arch. 89,isad:mpm:42,10 Q 2 D,9612ddcd-3d2b-5378-a83f-0d62db605777,p. 463-468,9612ddcd-3d2b-5378-a83f-0d62db605777,tg:mpmbr:786_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:796_#1,Arch. 89,isad:mpm:42,10 Q 2 D,92754939-7be0-5442-b02e-100a05cbf04f,p. 481-482,92754939-7be0-5442-b02e-100a05cbf04f,tg:mpmbr:796_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1246_#1,SCH HF BA 3,isad:mpm:301,15 Q 4 C,001c7f89-57f0-5582-a5b6-dbf51ef6b234,9,001c7f89-57f0-5582-a5b6-dbf51ef6b234,tg:mpmbr:1246_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:647_#1,Arch. 80,isad:mpm:32,10 Q 2 G,c5a1e43f-1b34-54f6-8e84-d16acc282b70,p. 89-92,c5a1e43f-1b34-54f6-8e84-d16acc282b70,tg:mpmbr:647_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:657_#1,Arch. 80,isad:mpm:32,10 Q 2 G,4470c075-0146-5d44-9e49-cbf82e51b71e,p. 129-132,4470c075-0146-5d44-9e49-cbf82e51b71e,tg:mpmbr:657_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1189_#1,Arch. 638,isad:mpm:161,10 Q 8 C,ee67b215-c12e-5030-ac50-867ee49be7ec,p. 736-739,ee67b215-c12e-5030-ac50-867ee49be7ec,tg:mpmbr:1189_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:88_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,a722bac0-02f9-5942-bdcc-533e22cc60fc,C.b.11.2,a722bac0-02f9-5942-bdcc-533e22cc60fc,tg:mpmbr:88_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:521_#1,Arch. 79,isad:mpm:31,10 Q 2 G,b1706922-0ac2-5362-9048-612352e716ab,p. 353C-356,b1706922-0ac2-5362-9048-612352e716ab,tg:mpmbr:521_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1199_#1,Arch. 638,isad:mpm:161,10 Q 8 C,f2dccf5f-da58-5ca1-a2c0-50935032ef8e,p. 780-781,f2dccf5f-da58-5ca1-a2c0-50935032ef8e,tg:mpmbr:1199_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:531_#1,Arch. 79,isad:mpm:31,10 Q 2 G,4cfe134b-1bbe-5ee7-a238-6da7bd4bf92b,p. 393-396,4cfe134b-1bbe-5ee7-a238-6da7bd4bf92b,tg:mpmbr:531_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:98_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,b3ae6cea-5328-55b8-9519-5381e5077565,C.e.2.1,b3ae6cea-5328-55b8-9519-5381e5077565,tg:mpmbr:98_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:374_#1,Arch.78,isad:mpm:30,10 Q 2 G,558bb5dd-ebfb-510e-b27d-7dde13ae3b81,p.661-664,558bb5dd-ebfb-510e-b27d-7dde13ae3b81,tg:mpmbr:374_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:364_#1,Arch.78,isad:mpm:30,10 Q 2 G,de726f50-1557-5d84-bf8c-f51d7cdf3f6e,p.621-624,de726f50-1557-5d84-bf8c-f51d7cdf3f6e,tg:mpmbr:364_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:316_#1,Arch. 682,isad:mpm:72,10 Q 9 D,9af98cf5-855b-5b8d-b081-e9ad57f23afb,los stuk 6,9af98cf5-855b-5b8d-b081-e9ad57f23afb,tg:mpmbr:316_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:306_#1,Arch.78,isad:mpm:30,10 Q 2 G,cc38bcd4-2eb0-5cd1-bb25-650d91d7c46b,p.413-416,cc38bcd4-2eb0-5cd1-bb25-650d91d7c46b,tg:mpmbr:306_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1093_#1,Arch. 89,isad:mpm:42,10 Q 2 D,bc043e1f-f239-5c36-a24e-4469826ce1af,p. 753-754,bc043e1f-f239-5c36-a24e-4469826ce1af,tg:mpmbr:1093_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:543_#1,Arch. 79,isad:mpm:31,10 Q 2 G,2c200260-af8d-5712-8c23-b8911c6f4736,p. 433-436,2c200260-af8d-5712-8c23-b8911c6f4736,tg:mpmbr:543_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1083_#1,Arch. 89,isad:mpm:42,10 Q 2 D,f9c5967b-1b73-52d4-8b16-9607e0c46e8e,p. 719-720,f9c5967b-1b73-52d4-8b16-9607e0c46e8e,tg:mpmbr:1083_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:553_#1,Arch. 79,isad:mpm:31,10 Q 2 G,ef3176ea-3f85-575c-8c36-e50230c5e124,p. 473-476,ef3176ea-3f85-575c-8c36-e50230c5e124,tg:mpmbr:553_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:625_#1,Arch. 80,isad:mpm:32,10 Q 2 G,494cb086-885a-5233-8fc7-64742f40447c,p. 1-4,494cb086-885a-5233-8fc7-64742f40447c,tg:mpmbr:625_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:635_#1,Arch. 80,isad:mpm:32,10 Q 2 G,4f2dcc52-4df6-5a93-a24e-5028c6927046,p. 41-44,4f2dcc52-4df6-5a93-a24e-5028c6927046,tg:mpmbr:635_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:891_#1,Arch. 89,isad:mpm:42,10 Q 2 D,d807ec54-bcbe-5485-8b9f-1028e2428bf9,p. 227-228,d807ec54-bcbe-5485-8b9f-1028e2428bf9,tg:mpmbr:891_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:108_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,09618d9c-d2af-5b1f-8652-0711aa4651d5,C.e.7,09618d9c-d2af-5b1f-8652-0711aa4651d5,tg:mpmbr:108_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:118_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,b44ddedb-0aa2-5a60-8f36-0d85cef5ba24,C.g.5,b44ddedb-0aa2-5a60-8f36-0d85cef5ba24,tg:mpmbr:118_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:881_#1,Arch. 89,isad:mpm:42,10 Q 2 D,c68871e7-65f5-5d73-bb4e-fcb8db8def81,p. 195-198,c68871e7-65f5-5d73-bb4e-fcb8db8def81,tg:mpmbr:881_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1234_#1,SCH HF BA 16,isad:mpm:301,15 Q 4 B,1a92e964-1402-524d-bd4a-8dd184ce2594,1674/7,1a92e964-1402-524d-bd4a-8dd184ce2594,tg:mpmbr:1234_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1224_#1,Arch. 638,isad:mpm:161,10 Q 8 C,a9fe3a60-328c-5f4a-b26a-b4f8599ed8c5,p. 866-869,a9fe3a60-328c-5f4a-b26a-b4f8599ed8c5,tg:mpmbr:1224_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:828_#1,Arch. 89,isad:mpm:42,10 Q 2 D,9065f63b-f45a-5745-8d2b-74929107e257,p. 9-12,9065f63b-f45a-5745-8d2b-74929107e257,tg:mpmbr:828_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:950_#1,MR 50,isad:mpm:591,,5b01f70c-3f3d-5556-a374-b92a01c3bcae,,5b01f70c-3f3d-5556-a374-b92a01c3bcae,tg:mpmbr:950_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:838_#1,Arch. 89,isad:mpm:42,10 Q 2 D,0260ef4e-a37d-5b5a-99c6-5c3852325916,p. 51-52,0260ef4e-a37d-5b5a-99c6-5c3852325916,tg:mpmbr:838_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:940_#1,SCH HF BA 169,isad:mpm:301,15 Q 7 C,44a799e7-a741-56c4-95e4-e51d806574cb,7,44a799e7-a741-56c4-95e4-e51d806574cb,tg:mpmbr:940_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1152_#1,Arch. 638,isad:mpm:161,10 Q 8 C,9eccc17a-8041-5c98-a8b6-2238014d6e84,p. 594-595,9eccc17a-8041-5c98-a8b6-2238014d6e84,tg:mpmbr:1152_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:53_#1,Arch. 498,isad:mpm:48,10 Q 6 C,e14c12fa-a4de-590b-b379-defc5bbb69ac,,e14c12fa-a4de-590b-b379-defc5bbb69ac,tg:mpmbr:53_#1,Los stuk tussen fol. 28 links-rechts,remarks,Nederlands
e22_Items,1,mpmbr,tg:mpmbr:1142_#1,Arch. 638,isad:mpm:161,10 Q 8 C,059fd182-0562-58b3-abd5-094deb1b3cd5,p. 554-557,059fd182-0562-58b3-abd5-094deb1b3cd5,tg:mpmbr:1142_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:492_#1,Arch. 79,isad:mpm:31,10 Q 2 G,23b06eca-5104-5db1-a63e-ea26d5bca042,p. 247-250,23b06eca-5104-5db1-a63e-ea26d5bca042,tg:mpmbr:492_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:43_#1,Arch. 321,isad:mpm:150,10 Q 5 D,473cd359-3c85-53b4-aec3-d543d69812d1,,473cd359-3c85-53b4-aec3-d543d69812d1,tg:mpmbr:43_#1,Los stuk 1 tussen fol. 131 links-rechts,remarks,Nederlands
e22_Items,1,mpmbr,tg:mpmbr:466_#1,Arch. 134,isad:mpm:41,10 Q 3 D,7421387a-a218-5f1a-b814-5b6519ad0ee3,los stuk tussen fol. 292 links-rechts,7421387a-a218-5f1a-b814-5b6519ad0ee3,tg:mpmbr:466_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:476_#1,Arch. 79,isad:mpm:31,10 Q 2 G,3c531ee6-f2ea-5a73-9d56-e5f1658fe531,p. 177-180,3c531ee6-f2ea-5a73-9d56-e5f1658fe531,tg:mpmbr:476_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:233_#1,Arch. 78,isad:mpm:30,10 Q 2 G,0bf495f1-17d1-50a2-ac44-54c5e3d69747,p. 141-142b,0bf495f1-17d1-50a2-ac44-54c5e3d69747,tg:mpmbr:233_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:223_#1,Arch. 1457,isad:mpm:343,10 R 3 B,716d8805-d347-58b2-a788-c22c17f9b7f5,17,716d8805-d347-58b2-a788-c22c17f9b7f5,tg:mpmbr:223_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:155_#1,Arch. 95 bis,isad:mpm:337,10 Q 2 C,8d343b19-1595-523e-b00f-0799f7750654,A.d.5.2,8d343b19-1595-523e-b00f-0799f7750654,tg:mpmbr:155_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:145_#1,Arch. 95 bis,isad:mpm:337,10 Q 2 C,cedeba22-8361-54a9-8913-bb1786ec8b08,A.d.2.1,cedeba22-8361-54a9-8913-bb1786ec8b08,tg:mpmbr:145_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:700_#1,SCH HF BA 112,isad:mpm:301,10 Q 6 D,ddeebc7a-649d-5257-9aad-79b68fbe9b54,,ddeebc7a-649d-5257-9aad-79b68fbe9b54,tg:mpmbr:700_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:678_#1,SCH HF BA 112,isad:mpm:301,10 Q 6 D,da6ee54f-0894-5321-a28a-c6bad93efe07,,da6ee54f-0894-5321-a28a-c6bad93efe07,tg:mpmbr:678_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:710_#1,Arch. 89,isad:mpm:42,10 Q 2 D,0230e4ff-fad6-5f73-b9b4-49a480390cd4,p. 299-300,0230e4ff-fad6-5f73-b9b4-49a480390cd4,tg:mpmbr:710_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:668_#1,Arch. 80,isad:mpm:32,10 Q 2 G,cf91d0bf-5878-54de-bb3b-20a1155465eb,p. 203-204,cf91d0bf-5878-54de-bb3b-20a1155465eb,tg:mpmbr:668_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:875_#1,Arch. 89,isad:mpm:42,10 Q 2 D,91156579-8e3a-5890-b9c7-66b5e6f95c39,p. 173-174,91156579-8e3a-5890-b9c7-66b5e6f95c39,tg:mpmbr:875_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:865_#1,Arch. 89,isad:mpm:42,10 Q 2 D,7b6e0d27-cf77-5504-b85e-7138d01604ce,p. 145-146,7b6e0d27-cf77-5504-b85e-7138d01604ce,tg:mpmbr:865_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1077_#1,Arch. 89,isad:mpm:42,10 Q 2 D,67d46829-f026-5905-a982-680f36f28c1e,p. 705-706,67d46829-f026-5905-a982-680f36f28c1e,tg:mpmbr:1077_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1067_#1,Arch. 638,isad:mpm:161,10 Q 8 C,fd61bcd4-b8ac-56e7-8af9-91f82ab1ca52,p. 364-367,fd61bcd4-b8ac-56e7-8af9-91f82ab1ca52,tg:mpmbr:1067_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:390_#1,Arch. 79,isad:mpm:31,10 Q 2 G,e661297a-8ec7-5870-91ed-ca6b0e1f8635,p. 9-12,e661297a-8ec7-5870-91ed-ca6b0e1f8635,tg:mpmbr:390_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:380_#1,Arch.78,isad:mpm:30,10 Q 2 G,020dd1f0-02d1-50e9-9080-fceaf7a8602f,p.685-688,020dd1f0-02d1-50e9-9080-fceaf7a8602f,tg:mpmbr:380_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1015_#1,Arch. 638,isad:mpm:161,10 Q 8 C,4acfefdf-02ca-521b-a7f4-ef2e792f72a2,p. 158-163,4acfefdf-02ca-521b-a7f4-ef2e792f72a2,tg:mpmbr:1015_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1005_#1,Arch. 638,isad:mpm:161,10 Q 8 C,825d7aad-9a48-5102-ab39-3abefb26cb7a,p. 124-127,825d7aad-9a48-5102-ab39-3abefb26cb7a,tg:mpmbr:1005_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:817_#1,Arch. 89,isad:mpm:42,10 Q 2 D,f92da81b-243a-548b-8610-563877052b51,p. 531-532,f92da81b-243a-548b-8610-563877052b51,tg:mpmbr:817_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:807_#1,Arch. 89,isad:mpm:42,10 Q 2 D,cd357b1b-1bb9-5b99-8f3c-fb4435706606,p. 503-504,cd357b1b-1bb9-5b99-8f3c-fb4435706606,tg:mpmbr:807_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:762_#1,Arch. 89,isad:mpm:42,10 Q 2 D,f0dd1160-7533-58e8-a7e9-87fbc21a3a64,p. 413-414,f0dd1160-7533-58e8-a7e9-87fbc21a3a64,tg:mpmbr:762_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:772_#1,Arch. 89,isad:mpm:42,10 Q 2 D,2ebd52e8-b66f-58a4-95ca-604224f3f832,p. 433-434,2ebd52e8-b66f-58a4-95ca-604224f3f832,tg:mpmbr:772_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:137_#1,Arch. 95 bis,isad:mpm:337,10 Q 2 C,f07103fd-691f-51cf-8418-620bc44c6fc1,A.c.2,f07103fd-691f-51cf-8418-620bc44c6fc1,tg:mpmbr:137_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:127_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,9f6854b5-f471-51ed-94cf-bf3d52a1e568,C.g.11,9f6854b5-f471-51ed-94cf-bf3d52a1e568,tg:mpmbr:127_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:251_#1,Arch. 78,isad:mpm:30,10 Q 2 G,1787e713-66eb-526d-9674-47b8d822d8ae,p. 207-212,1787e713-66eb-526d-9674-47b8d822d8ae,tg:mpmbr:251_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:329_#1,Arch. 78,isad:mpm:30,10 Q 2 G,298ef815-eb0f-52e2-8e51-10d8fe3aa186,p. 481-484,298ef815-eb0f-52e2-8e51-10d8fe3aa186,tg:mpmbr:329_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:241_#1,Arch. 78,isad:mpm:30,10 Q 2 G,d76d7cab-5c18-526b-b941-981085c24cc1,p. 169-172,d76d7cab-5c18-526b-b941-981085c24cc1,tg:mpmbr:241_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:339_#1,Arch. 78,isad:mpm:30,10 Q 2 G,34c57e89-b962-5905-afc1-1c231204a159,p. 521-524,34c57e89-b962-5905-afc1-1c231204a159,tg:mpmbr:339_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:404_#1,Arch. 79,isad:mpm:31,10 Q 2 G,2bdf53ec-4c19-528f-9072-640ad8020807,p. 65-68,2bdf53ec-4c19-528f-9072-640ad8020807,tg:mpmbr:404_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:414_#1,Arch. 79,isad:mpm:31,10 Q 2 G,2a38de29-5a96-5bbd-bfa0-143b9be40f64,p. 105-108,2a38de29-5a96-5bbd-bfa0-143b9be40f64,tg:mpmbr:414_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:277_#1,Arch.78,isad:mpm:30,10 Q 2 G,14923968-ce9b-57bf-8f5b-18a7b908cdf8,p.295-298,14923968-ce9b-57bf-8f5b-18a7b908cdf8,tg:mpmbr:277_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:267_#1,Arch. 78,isad:mpm:30,10 Q 2 G,d1f8b5c1-1804-5b28-bc3c-dc3bb2405f01,p. 275-278,d1f8b5c1-1804-5b28-bc3c-dc3bb2405f01,tg:mpmbr:267_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:422_#1,Arch. 79,isad:mpm:31,10 Q 2 G,3cd56374-c6c0-5478-bfff-fef453b2874e,p. 137-140,3cd56374-c6c0-5478-bfff-fef453b2874e,tg:mpmbr:422_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:744_#1,Arch. 89,isad:mpm:42,10 Q 2 D,85fc7cf9-aea0-5bcb-8ae6-736f9ade60f9,p. 374-376,85fc7cf9-aea0-5bcb-8ae6-736f9ade60f9,tg:mpmbr:744_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:754_#1,Arch. 89,isad:mpm:42,10 Q 2 D,7a55e584-b5fa-5eba-88d4-24107f712617,p. 397-398,7a55e584-b5fa-5eba-88d4-24107f712617,tg:mpmbr:754_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:111_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,9020339f-0424-5c5e-86d4-69ffb29eb922,C.g.2.1,9020339f-0424-5c5e-86d4-69ffb29eb922,tg:mpmbr:111_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:888_#1,Arch. 89,isad:mpm:42,10 Q 2 D,fa3d6e06-97a6-5d57-88c2-e0043018a308,p. 217-220,fa3d6e06-97a6-5d57-88c2-e0043018a308,tg:mpmbr:888_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:898_#1,Arch. 89,isad:mpm:42,10 Q 2 D,e0a4ac17-bfd8-5ffd-8b66-0f66112c5229,p. 275-276,e0a4ac17-bfd8-5ffd-8b66-0f66112c5229,tg:mpmbr:898_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:101_#1,Arch. 95 bis,isad:mpm:339,10 Q 2 C,30727c2c-65cd-5385-8ed3-d876db62e71d,C.e.3.1,30727c2c-65cd-5385-8ed3-d876db62e71d,tg:mpmbr:101_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:685_#1,SCH HF BA 112,isad:mpm:301,10 Q 6 D,369b73db-e20c-54da-9b65-7d1279b27657,,369b73db-e20c-54da-9b65-7d1279b27657,tg:mpmbr:685_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:695_#1,SCH HF BA 112,isad:mpm:301,10 Q 6 D,e09599ce-dc3a-5ea7-8b6b-576139f6a822,,e09599ce-dc3a-5ea7-8b6b-576139f6a822,tg:mpmbr:695_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:831_#1,Arch. 89,isad:mpm:42,10 Q 2 D,a64e2777-0c91-56bb-8913-6d1f57d2ed4a,p. 17-18,a64e2777-0c91-56bb-8913-6d1f57d2ed4a,tg:mpmbr:831_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:949_#1,MR 49,isad:mpm:591,,e278c864-c841-52c8-9fab-cc8ae8985a89,,e278c864-c841-52c8-9fab-cc8ae8985a89,tg:mpmbr:949_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:821_#1,Arch. 89,isad:mpm:42,10 Q 2 D,cfa2b0c2-7ac6-559b-a437-4fd2df8799f9,p. 541-544,cfa2b0c2-7ac6-559b-a437-4fd2df8799f9,tg:mpmbr:821_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:959_#1,Arch. 89,isad:mpm:42,10 Q 2 D,ba728d88-5e86-5ab4-ace8-9ccf8825ba00,p. 649-652,ba728d88-5e86-5ab4-ace8-9ccf8825ba00,tg:mpmbr:959_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1033_#1,Arch. 638,isad:mpm:161,10 Q 8 C,083efdb7-5735-5cfb-9ac7-47078da128bb,p. 240-243,083efdb7-5735-5cfb-9ac7-47078da128bb,tg:mpmbr:1033_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1023_#1,Arch. 638,isad:mpm:161,10 Q 8 C,8fc63b01-f5ab-5b85-b77a-318778bf543c,p. 204-207,8fc63b01-f5ab-5b85-b77a-318778bf543c,tg:mpmbr:1023_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1129_#1,Arch. 638,isad:mpm:161,10 Q 8 C,96b2e65c-4f49-5695-aa04-ad041877203f,p. 508-511,96b2e65c-4f49-5695-aa04-ad041877203f,tg:mpmbr:1129_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:28_#1,Arch. 239,isad:mpm:32,10 Q 4 C,a0b919a0-252b-5dc0-8102-6df6cc3ce7a3,los stuk nr. [1],a0b919a0-252b-5dc0-8102-6df6cc3ce7a3,tg:mpmbr:28_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:581_#1,Arch. 79,isad:mpm:31,10 Q 2 G,144177a2-850e-5af1-88f9-4b0ff668d841,p. 583-584B,144177a2-850e-5af1-88f9-4b0ff668d841,tg:mpmbr:581_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1051_#1,Arch. 638,isad:mpm:161,10 Q 8 C,a576b504-edba-528b-8294-8d6e719e379b,p. 312-313,a576b504-edba-528b-8294-8d6e719e379b,tg:mpmbr:1051_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1139_#1,Arch. 638,isad:mpm:161,10 Q 8 C,93457480-d5a3-58ca-a2c2-1e84d4af2f89,p. 546-547,93457480-d5a3-58ca-a2c2-1e84d4af2f89,tg:mpmbr:1139_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:591_#1,Arch. 79,isad:mpm:31,10 Q 2 G,fd4d3c74-4a09-542f-8806-5be499288bee,p. 621-624,fd4d3c74-4a09-542f-8806-5be499288bee,tg:mpmbr:591_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:1041_#1,Arch. 638,isad:mpm:161,10 Q 8 C,ca802046-fcbc-5d0b-abac-53d1347d0070,p. 270-273,ca802046-fcbc-5d0b-abac-53d1347d0070,tg:mpmbr:1041_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:38_#1,Arch. 322,isad:mpm:124,10 Q 5 D,8c95de27-3b8b-580f-b6f7-8f5fa3a16682,,8c95de27-3b8b-580f-b6f7-8f5fa3a16682,tg:mpmbr:38_#1,Los stuk 1 tussen fol. 212 links-rechts,remarks,Nederlands
e22_Items,1,mpmbr,tg:mpmbr:853_#1,Arch. 89,isad:mpm:42,10 Q 2 D,f7553a8d-fc28-573a-9a8e-9f2680f91863,p. 105-108,f7553a8d-fc28-573a-9a8e-9f2680f91863,tg:mpmbr:853_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:843_#1,Arch. 89,isad:mpm:42,10 Q 2 D,e6283945-33cf-550a-8fd1-3649b0af7114,p. 67-68,e6283945-33cf-550a-8fd1-3649b0af7114,tg:mpmbr:843_#1,,,
e22_Items,1,mpmbr,tg:mpmbr:173_#1,Arch. 95 bis,isad:mpm:338,10 Q 2 C,0019b7f8-8e27-5f6d-aa15-e96b8715adaa,B.b.5.2,0019b7f8-8e27-5f6d-aa15-e96b8715adaa,tg:mpmbr:173_#1,,,
