ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,museum,ire.isaar.uuid,source_ire_type,Connected Subject Role,ire.isaar.id,place_au_code,Connected Subject Note,Connected Subject Widget,Connected Subject Identifier,Connected Subject Type,dataset,resource_model,Creation Actor Role,Creation Actor Note,Creation Actor Widget,Creation Actor Identifier,Creation Place Widget,Start Date,End Date,Start Date Type,Start Date Note,Start Date Note Type,Start Date Note Language,Creation Time Span Source Note,Description,Description Type,Description Language,External Relation,External Relation Note,External Relation Note Language,External Relation Note Type,External Relation URL,External Relation URL Prefix,External Relation URL Type,Language,Legacy Information Value,Legacy Information Type,Legacy Information Published,Material Records,Title,Title Type,Title Language,Keeper,Object Number,Object Identifier,Record Type,source_date,Copyright Revision Date,Copyright Type,Transactions
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:32,brocade id,False,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:32/N,brocade url,False,,,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6cf4ea14-ea10-431f-93cb-a236051b8613"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
00d08c3f-d02d-5604-bcb4-b1036cf771a6,tg:mpmtk:32,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ontwerp voor de titelpagina van Jean Boyvin, Le siege de la ville de Dole",titles proper,Dutch (language),,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:24,https://data.museumplantinmoretus.be/ark:/11975/251d4f80-80c8-5190-a8e5-e63866de74cd,Tekeningen,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_AnnotationsImmaterial,1,note.mpmalg,"<p>Seraphinorum fervor&quot; en &quot;Cherubinorum scientia&quot; in banderoles links en rechts van Maria</p>
","<p>Seraphinorum fervor&quot; en &quot;Cherubinorum scientia&quot; in banderoles links en rechts van Maria</p>
",Nederlands,remarks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""57907e61-ccf6-4218-b7ba-74128ec1e981"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fd48fc9c-feee-40d3-9ead-af995ba73467"", ""inverseOntologyProperty"": """"}]"
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1605,1720,No Copyright - Public Domain Mark 1.0,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationActors,,,au::13830,,,,mpm,4c2593ff-6f39-5958-b785-bfb49d6cc786,ar,,au::13830:1,au::13830g:1,,,,,mpmtk,Iconografie,artists (visual artists),AVN monogram midden onderaan,"dlod={""suggest"":[""/agents/people/1479810"",""au::13830"",""au::13830:1"",""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""Adam van Noort""],""name"":""Adam van Noort"",""ark"":""ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786"",""uri"":""/agents/people/1479810"",""id"":""au::13830:1"",""isCapacity"":false}",ark:/83110/x0/4c2593ff-6f39-5958-b785-bfb49d6cc786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16050000,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16090000,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1605,1609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria op een troon omringd door engelen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,p. 346,Nederlands,remarks,c:lvd:839899,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000009,referentienummer,False,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:24,brocade id,False,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:24/N,brocade url,False,,,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""f7b959e3-1609-5a91-8d2f-57b2f02f87bb"", ""ontologyProperty"": """", ""resourceXresourceId"": ""52bd937c-3f2b-4921-998a-f3efb8ecc0ff"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
251d4f80-80c8-5190-a8e5-e63866de74cd,tg:mpmtk:24,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maria op een troon omringd door engelen,titles proper,Dutch (language),,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:11,https://data.museumplantinmoretus.be/ark:/11975/3d7a61cb-2404-5110-ae89-8b5ff60be96b,Tekeningen,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""4fee1794-f473-4314-bd99-9fd153436048"", ""ontologyProperty"": """", ""resourceXresourceId"": ""893ca9c3-d0dc-4a55-a10d-6b3a47c2bd1e"", ""inverseOntologyProperty"": """"}]"
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ConnectedSubjects,,,au::11670,,,,mpm,563cf60b-2fc4-505a-aae5-fbd8122909d5,ow,subjects (content of works),au::11670:1,au::11670g:1,,"dlod={""suggest"":[""/agents/people/1248690"",""au::11670"",""au::11670:1"",""ark:/83110/x0/563cf60b-2fc4-505a-aae5-fbd8122909d5"",""Justus Lipsius""],""name"":""Justus Lipsius"",""ark"":""ark:/83110/x0/563cf60b-2fc4-505a-aae5-fbd8122909d5"",""uri"":""/agents/people/1248690"",""id"":""au::11670:1"",""isCapacity"":false}",ark:/83110/x0/563cf60b-2fc4-505a-aae5-fbd8122909d5,agent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1606,1721,No Copyright - Public Domain Mark 1.0,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_CreationActors,,,au::108212,,,,mpm,50d2268a-3bf7-5f73-827f-ffeb1016b259,ar,,au::108212:1,au::108212g:1,,,,,mpmtk,Iconografie,artists (visual artists),Vermoedelijke kunstenaar,"dlod={""suggest"":[""/agents/people/11578684"",""au::108212"",""au::108212:1"",""ark:/83110/x0/50d2268a-3bf7-5f73-827f-ffeb1016b259"",""Melchior Moretus""],""name"":""Melchior Moretus"",""ark"":""ark:/83110/x0/50d2268a-3bf7-5f73-827f-ffeb1016b259"",""uri"":""/agents/people/11578684"",""id"":""au::108212:1"",""isCapacity"":false}",ark:/83110/x0/50d2268a-3bf7-5f73-827f-ffeb1016b259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16060000,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1606,,circa,Justus Lipsius overleed in 1606,creation date note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allegorische schets van Justus Lipsius op zijn sterfbed,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,TEK 591 / Cat. 151,Nederlands,remarks,c:lvd:6157678,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,GVd 25,Nederlands,remarks,c:lvd:1276,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gerelateerde publicatie,nr. 95,Nederlands,remarks,c:lvd:1096796,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_ExternalRelations,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,online catalogs,,,,207765,https://search.museumplantinmoretus.be/,Link naar record in search.museumplantinmoretus.be,,,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_Languages,1,kenmerken.mpmlanguage,lat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Latin (language),,,,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000003,referentienummer,False,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:11,brocade id,False,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:11/N,brocade url,False,,,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""d1e34e67-207a-52e4-97d1-3dec92f7b7d2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""ecd2527b-319a-4984-811c-cbb9e486d39e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
3d7a61cb-2404-5110-ae89-8b5ff60be96b,tg:mpmtk:11,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Coenotaphium Justi Lipsii catholici regis historiographi,titles proper,Latin (language),,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:34,https://data.museumplantinmoretus.be/ark:/11975/5355e3fa-7908-52d1-9652-e164ac0c8c43,Tekeningen,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""6984b975-6047-4f91-985d-92646ad8ffa9"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f416b5d7-8ea1-414a-8a5a-0f39bdb06d6e"", ""inverseOntologyProperty"": """"}]"
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1637,1752,No Copyright - Public Domain Mark 1.0,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_CreationActors,,,au::15342,,,,mpm,0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,ar,,au::15342:1,au::15342g:1,,,,,mpmtk,Iconografie,artists (visual artists),,"dlod={""suggest"":[""/agents/people/1641594"",""au::15342"",""au::15342:1"",""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""Erasmus II Quellinus""],""name"":""Erasmus II Quellinus"",""ark"":""ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0"",""uri"":""/agents/people/1641594"",""id"":""au::15342:1"",""isCapacity"":false}",ark:/83110/x0/0dd77f3c-9f4b-591f-96e2-8ae1e7a757d0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16370000,,,,,,,,,,,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_CreationTimeSpanSourceNotes,1,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16380000,,,,,,,,,,,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1637,1638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Een gelauwerde figuur zit op een troon en wijst op soldaten die worden toegesproken,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_ExternalRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ontwerp voor,,,,c:lvd:632549,https://anet.be/record/opacmpm/,zie verder bibliotheekcatalogus Museum Plantin Moretus,,,,,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000017,referentienummer,False,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:34,brocade id,False,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:34/N,brocade url,False,,,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""8e9ab46a-1948-5000-b52e-1e56003b44bc"", ""ontologyProperty"": """", ""resourceXresourceId"": ""12624a31-97d5-47e3-9bd1-fede4ce48f56"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
5355e3fa-7908-52d1-9652-e164ac0c8c43,tg:mpmtk:34,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Ontwerp voor de titelpagina van Vincentius Guinisius, Allocutiones gymnasticae",titles proper,Dutch (language),,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:28,https://data.museumplantinmoretus.be/ark:/11975/5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,Tekeningen,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""cc830c93-05cd-408a-a177-e3f8ff3a4059"", ""ontologyProperty"": """", ""resourceXresourceId"": ""158ba38d-bd4e-4e6e-9324-e1bcc5096921"", ""inverseOntologyProperty"": """"}]"
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,1738,No Copyright - Public Domain Mark 1.0,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16230000,,,,,,,,,,,,,,,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontwerp voor het portret van Lotharius II van Lorreinen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,,e73_LegacyInformation,0,id.objectNumber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BE-ANN00/tk/000000012,referentienummer,False,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,,e73_LegacyInformation,1,brocade.id,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tg:mpmtk:28,brocade id,False,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,,e73_LegacyInformation,1,brocade.url,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://anet.be/record/opacmpmobj/tg:mpmtk:28/N,brocade url,False,,,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_MaterialRecords,1,materialRecords,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""5bab3548-b070-576a-a984-24465d558e3a"", ""ontologyProperty"": """", ""resourceXresourceId"": ""1dbd1394-6b09-4d69-88cb-6ef51ccf6a0d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,
5edba65c-caf2-5dc7-9e43-46f5e4ddcb0a,tg:mpmtk:28,e73_Titles,1,id.title/ti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontwerptekening met het portret van Lotharius II van Lorreinen,titles proper,Dutch (language),,,,,,,,
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:29,https://data.museumplantinmoretus.be/ark:/11975/6e00a7bd-8a35-5967-8fa7-543a30c85074,Tekeningen,,,,
6e00a7bd-8a35-5967-8fa7-543a30c85074,,e73_ChangeHistoryRelations,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[{""resourceId"": ""9b6b54b6-4eb7-48f6-8482-def76156f647"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4d9b0d0e-abfc-4219-836c-7b6e864bdf93"", ""inverseOntologyProperty"": """"}]"
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,e73_Copyrights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,1738,No Copyright - Public Domain Mark 1.0,
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,e73_CreationTimeSpanSourceNotes,0,id/date.creationdate/so,,,,,,,,,,,,,,,,,,,,,,,,,,,,16230000,,,,,,,,,,,,,,,,,,,,,,,,,,
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,e73_CreationTimeSpans,,,,,,,,,,,,,,,,,,,,,,,,1623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6e00a7bd-8a35-5967-8fa7-543a30c85074,tg:mpmtk:29,e73_Descriptions,,id.desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ontwerp voor het portret van Lodewijk en Karloman van Lorreinen,descriptive note,Nederlands,,,,,,,,,,,,,,,,,,,,,,,
