ResourceID,brocade.id,card,order,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,source_field,Dimension Value,Dimension Type,Dimension Measurement Unit,source_code,Dimension Source Note,dataset,adm.id_mat,Plaatsingsnummer,Warehouse Location (begin),adm.uuid_mat,adm.isadPartOf,Volgnummer,Mark Text,Mark Type,Mark Language,col_source_field,mat_source_field,Material Colour,Material,Object Type,ire.isaar.uuid,ire.isaar.id,source role,Production Actor Role,Production Actor Widget,Production Actor Identifier,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:33_#1,TK 263,10 K 1 H,29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,,,,,,,,,,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechaanvtk.mpmtechtaddtk,,bister (pigment),,,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
29f3ce22-a988-5b01-a9dd-b7fcd935cb9b,tg:mpmtk:33_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,open
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:37_#1,https://data.museumplantinmoretus.be/ark:/11975/2b787120-27fe-5e35-8e20-c8423eb83c0c,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"26,5 x 20,5","26,5 x 20,5 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,265,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,205,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:37_#1,TK 269,10 K 1 H,2b787120-27fe-5e35-8e20-c8423eb83c0c,,,,,,,,,,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
2b787120-27fe-5e35-8e20-c8423eb83c0c,tg:mpmtk:37_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638,open
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:35_#1,https://data.museumplantinmoretus.be/ark:/11975/339485b6-089d-5448-8363-32ed32b78487,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"29 x 18,5","29 x 18,5 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,290,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,185,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:35_#1,TK 400,10 K 1 H,339485b6-089d-5448-8363-32ed32b78487,,,,,,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>E. Quellinius inventor</p>
",signatures (names),Nederlands,,,,,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
339485b6-089d-5448-8363-32ed32b78487,tg:mpmtk:35_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1638,open
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:32_#1,https://data.museumplantinmoretus.be/ark:/11975/499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,18 x 13,"18 x 13 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,180,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,130,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:32_#1,TK 399,10 K 1 H,499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,,,,,,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>Le Siege / de la Ville / de Dole / Capitale / de la Franche-Comte / et / son heurese [sic] delvrance [sic] / Discrits [het woord &quot;Racontes&quot; geschrapt] par M. I.</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
499e0b1e-64aa-5b6f-91cc-a40e6e74a0c4,tg:mpmtk:32_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1636,open
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:19_#1,https://data.museumplantinmoretus.be/ark:/11975/4da61ed6-63a1-5d83-bea9-45f5dca96b0b,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"17,5 x 22,9","17,5 x 22,9 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,175,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,229,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:19_#1,TK 218,10 K 1 K,4da61ed6-63a1-5d83-bea9-45f5dca96b0b,,,,,,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>In lit. R. nae der ordenienge van mijn / lijste ofte catalogus, an mijn heer / Balthasar Moretus, voor / 14 dagen naer Antwerpen / ghesonden. / Anno 1646. 19/29 Septem.</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,ink,,,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
4da61ed6-63a1-5d83-bea9-45f5dca96b0b,tg:mpmtk:19_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1646,open
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:28_#1,https://data.museumplantinmoretus.be/ark:/11975/5bab3548-b070-576a-a984-24465d558e3a,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"21,3 x 15,3","21,3 x 15,3 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,213,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,153,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:28_#1,TK 236,10 K 1 K,5bab3548-b070-576a-a984-24465d558e3a,,,,,,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>Lotharius II Lotharingiae Rex</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,"<p>int cleijn boelerende wesende ionck ende wulps</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4d342113-9196-566e-a3b4-91c1c71efe07,au::108347,an,aantekenaar,,,,,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
5bab3548-b070-576a-a984-24465d558e3a,tg:mpmtk:28_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,open
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:27_#1,https://data.museumplantinmoretus.be/ark:/11975/5ce72c6f-ee27-57e7-9692-959c34f60bcb,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,12 x 17,"12 x 17 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,120,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,170,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:27_#1,TK 389,10 K 1 G,5ce72c6f-ee27-57e7-9692-959c34f60bcb,,,,,,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>Nota quod Musa / habeat Pennam / in capite qua / differt ab Apolline</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_Marks,2,,,,,,,,,,,,,,,,,,,"<p>Habes hic Musam sive Poesim cum Minerva seu Virtute / forma Hermatenis coniunctam nam musam pro Mercurio / apposui quod pluribus exemplis licet, nescio an tibi meum commentum / placebit ego certo mihi hoc invento valde placeo / ne dicam gratulor</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
5ce72c6f-ee27-57e7-9692-959c34f60bcb,tg:mpmtk:27_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1634,open
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:29_#1,https://data.museumplantinmoretus.be/ark:/11975/71c29626-cc06-5877-8867-f3a93b17dd9f,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"22,4 x 15,6","22,4 x 15,6 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,224,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Dimensions,,,,,,,kenmerken.mpmformattk,156,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Items,1,,,,,,,,,,,,mpmtk,tg:mpmtk:29_#1,TK 237,10 K 1 K,71c29626-cc06-5877-8867-f3a93b17dd9f,,,,,,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_Marks,1,,,,,,,,,,,,,,,,,,,"<p>Ludovicus et Carlomannus Lothar. Reges/ XIII. Brabantiae Principes</p>
",inscriptions,Nederlands,,,,,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_MaterialColour,,,,,,,,,,,,,mpmtk,,,,,,,,,,kenmerken/mpmtechbasistk.mpmkleur,kenmerken/mpmtechbasistk.mpmtechtk,brown (color),ink,,,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_ObjectTypes,1,,,,,,kenmerken.mpmtypetk,,,,tttek,,,,,,,,,,,,,,,,drawings (visual works),,,,,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_ProductionActors,1,,,,,,,,,,,,,,,,,,,,,,,,,,,4d342113-9196-566e-a3b4-91c1c71efe07,au::108347,an,aantekenaar,,,,,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_ProductionTechniques,1,,,,,,kenmerken/mpmtechbasistk.mpmtechtk,,,,tpe,,,,,,,,,,,,,,,,,,,,,,,pens (drawing and writing implements),,,,,
71c29626-cc06-5877-8867-f3a93b17dd9f,tg:mpmtk:29_#1,e22_UsageRestrictions,,,,,,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,open
76f134ef-a5a9-5370-bb23-79ec548601e7,tg:mpmtk:15_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmtk:15_#1,https://data.museumplantinmoretus.be/ark:/11975/76f134ef-a5a9-5370-bb23-79ec548601e7,,
76f134ef-a5a9-5370-bb23-79ec548601e7,tg:mpmtk:15_#1,e22_Archives,1,isad:mpm:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f134ef-a5a9-5370-bb23-79ec548601e7,tg:mpmtk:15_#1,e22_Carrier,1,,,,kenmerken.mpmdragertk,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76f134ef-a5a9-5370-bb23-79ec548601e7,tg:mpmtk:15_#1,e22_DimensionSourceNotes,1,,,,,,kenmerken.mpmformattk,,,,"21,3 x 34,1","21,3 x 34,1 - height, width, kenmerken.mpmformattk",,,,,,,,,,,,,,,,,,,,,,,,,,,
