ResourceID,brocade.id,card,order,source_field,source_code,Annotation,Annotation Language,Annotation Type,Archive Brocade ID,Archive Widget,Archive Identifier,carrier_type_source_field,Carrier Type,Dimension Value,Dimension Type,Dimension Measurement Unit,Dimension Source Note,Document status,Format Number,Format Unit Type,Format Number Type,Hallmark Type,dataset,adm.id_mat,Plaatsingsnummer,adm.isadPartOf,Warehouse Location (begin),adm.uuid_mat,Volgnummer,Source Note,Source Note Type,Source Note Language,Mark Text,Mark Type,Mark Language,Material,Object Type,Other Identifier,Other Identifier Type,Product stadium,Production Technique Type,Keeper,Object Number,Object Identifier,source_date,Restriction Type
004129c1-7161-55e4-96d4-792ff4f6a214,tg:mpmre:674_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884,open
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:68_#1,https://data.museumplantinmoretus.be/ark:/11975/004183dd-13d7-5fad-84cc-df01f4a1d581,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Archives,1,,,,,,isad:mpm:290,"dlod={""name"":""Akten met betrekking tot renten"",""ark"":""ark:/11975/x0/cddb36d1-316b-5ea9-bf29-f5bc6384ca90"",""uri"":""/repositories/10/archival_objects/31031"",""id"":""isad:mpm:290"",""nameWithContext"":[""Archief van de familie ~[Moretus](au::106910)~"",""Archief van ~[Christoffel Plantijn](au::14861)~ en de familie ~[Moretus](au::106910)~"",""Persoonsarchieven"",""~[Franciscus Joannes Moretus](au::108458)~ en ~[Maria Theresia Borrekens](au::108615)~"",""~[Maria Theresia Borrekens](au::108615)~"",""Voogdij over de minderjarige kinderen""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Akten met betrekking tot renten"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/cddb36d1-316b-5ea9-bf29-f5bc6384ca90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Carrier,1,,,,,,,,,kenmerken.mpmdragerak,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,"14,9 x 8,7",,,,,,,,,,,,"14,9 x 8,7 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,149,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,87,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmak,tg:mpmak:68_#1,K 1074,isad:mpm:290,Zaal 32,004183dd-13d7-5fad-84cc-df01f4a1d581,29,,,,,,,,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
004183dd-13d7-5fad-84cc-df01f4a1d581,tg:mpmak:68_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1786,open
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:284_#1,https://data.museumplantinmoretus.be/ark:/11975/00612947-6e3a-5036-afb2-efbd313cb40b,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Archives,1,,,,,,isad:mpm:418,"dlod={""name"":""Kwitanties voor de belasting op het bezit van paarden"",""ark"":""ark:/11975/x0/9491c903-0004-5b47-a7db-939418cd4f31"",""uri"":""/repositories/10/archival_objects/44727"",""id"":""isad:mpm:418"",""nameWithContext"":[""Archief van de familie ~[Moretus](au::106910)~"",""Archieven van de aanverwante families"",""Archief van de familie ~[Schilders](au::106904)~"",""Familie- en bedrijfsarchief van ~[Henri François Schilders](au::106903)~ en ~[Sibilla Bosschaert](au::108734)~"",""Familiearchief van ~[Henri François Schilders](au::106903)~ en ~[Sibilla Bosschaert](au::108734)~"",""Juridische documenten en rechtsaangelegenheden"",""Adeldom"",""Afgewezen verzoek aangaande de opname in adelstand van ~[Henri François Schilders](au::106903)~""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Kwitanties voor de belasting op het bezit van paarden"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/9491c903-0004-5b47-a7db-939418cd4f31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Carrier,1,,,,,,,,,kenmerken.mpmdragerak,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,23 x 9,,,,,,,,,,,,"23 x 9 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,230,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,90,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_HallmarkTypes,1,kenmerken.mpmwaarmerk,akwaht,,,,,,,,,,,,,,,,,signatures (names),,,,,,,,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmak,tg:mpmak:284_#1,SCH HF FA 51,isad:mpm:418,10 Q 4 D,00612947-6e3a-5036-afb2-efbd313cb40b,3,,,,,,,,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_ObjectTypes,1,kenmerken.mpmtypeak,akkw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,receipts (financial records),,,,,,,,,
00612947-6e3a-5036-afb2-efbd313cb40b,tg:mpmak:284_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1681,open
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:599_#1,https://data.museumplantinmoretus.be/ark:/11975/007a3965-d5e1-5379-b31d-52f6b5801a65,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Archives,1,,,,,,isad:mpm:446,"dlod={""name"":""Brievenkopieboeken"",""ark"":""ark:/11975/x0/b4b80bea-c728-5c9e-841c-72c783852f5f"",""uri"":""/repositories/10/archival_objects/47723"",""id"":""isad:mpm:446"",""nameWithContext"":[""Archief van de familie ~[Moretus](au::106910)~"",""Archieven van de aanverwante families"",""Archief van de familie ~[Schilders](au::106904)~"",""Familie- en bedrijfsarchief van ~[Henri François Schilders](au::106903)~ en ~[Sibilla Bosschaert](au::108734)~"",""Bedrijfsarchief van ~[Henri François Schilders](au::106903)~ en ~[Sibilla Bosschaert](au::108734)~"",""Aanvulling"",""Facturen en kwitanties betreffende rechtsgedingen""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Brievenkopieboeken"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/b4b80bea-c728-5c9e-841c-72c783852f5f,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,41 x 27,,,,,,,,,,,,"41 x 27 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,410,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,270,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,236,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,240,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:599_#1,Arch. 1371 (II),isad:mpm:446,10 R 4 A,007a3965-d5e1-5379-b31d-52f6b5801a65,,,,,,,,,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_ObjectTypes,1,kenmerken.mpmtypere,rebb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,letter books,,,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_OtherIdentifiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SCH HF BA 215,repository numbers,,,,,,,
007a3965-d5e1-5379-b31d-52f6b5801a65,tg:mpmre:599_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1676,open
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmak:265_#1,https://data.museumplantinmoretus.be/ark:/11975/008bc001-3a4f-5af5-8777-6b29325af7a6,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Archives,1,,,,,,isad:mpm:256,"dlod={""name"":""Lettergieters"",""ark"":""ark:/11975/x0/c9b2320a-8aa2-51aa-a3a9-1ad1406856ad"",""uri"":""/repositories/10/archival_objects/27393"",""id"":""isad:mpm:256"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Drukkerij""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Lettergieters"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/c9b2320a-8aa2-51aa-a3a9-1ad1406856ad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Carrier,1,,,,,,,,,kenmerken.mpmdragerak,paper (fiber product),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,24 x 20,,,,,,,,,,,,"24 x 20 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,240,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,200,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Formats,1,kenmerken/mpmpageshs.mpmpageshsnumber,,,,,,,,,,,,,,,1,folios (leaves),aantal totaal,,,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_HallmarkTypes,1,kenmerken.mpmwaarmerk,akwaht,,,,,,,,,,,,,,,,,signatures (names),,,,,,,,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmak,tg:mpmak:265_#1,Arch. 697,isad:mpm:256,10 Q 9 D,008bc001-3a4f-5af5-8777-6b29325af7a6,93,,,,,,,,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
008bc001-3a4f-5af5-8777-6b29325af7a6,tg:mpmak:265_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,open
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,AA,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Museum Plantin-Moretus,tg:mpmre:12_#1,https://data.museumplantinmoretus.be/ark:/11975/00f12cb1-77cc-5eb3-a40c-50c3313f15d4,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Archives,1,,,,,,isad:mpm:248,"dlod={""name"":""Reglementen en bestuurszaken"",""ark"":""ark:/11975/x0/c266a22b-d395-524a-b76c-c6ccd380055d"",""uri"":""/repositories/10/archival_objects/26537"",""id"":""isad:mpm:248"",""nameWithContext"":[""Archief van de ~[Officina Plantiniana](au::106905)~"",""Drukkerij"",""Werklieden"",""'~[Concordia](au::108363)~' van de correctoren""],""resourceName"":""Plantin-~[Moretus](au::106910)~ archief"",""resourceArk"":""ark:/11975/x0/fa957442-ea6f-5037-bc8c-af8ef80f08ae"",""resourceURI"":""/repositories/10/resources/2355"",""resourceID"":""isad:mpm:22"",""capacity"":""Reglementen en bestuurszaken"",""isCapacity"":true,""orgID"":""mpm"",""suggestType"":""archiveobject""}",ark:/11975/x0/c266a22b-d395-524a-b76c-c6ccd380055d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_DimensionSourceNotes,1,kenmerken/mpmformaths.mpmformathsafm,"23,5 x 18,5",,,,,,,,,,,,"23,5 x 18,5 - height, width, kenmerken/mpmformaths.mpmformathsafm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,235,hoogte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Dimensions,,kenmerken/mpmformaths.mpmformathsafm,,,,,,,,,,185,breedte,millimeter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Formats,1,kenmerken/mpmpageswrittenhs.mpmpageswrittenhsnumber,,,,,,,,,,,,,,,32,folios (leaves),aantal beschreven,,,,,,,,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Items,1,,,,,,,,,,,,,,,,,,,,mpmre,tg:mpmre:12_#1,Arch. 1168,isad:mpm:248,10 R 7 D,00f12cb1-77cc-5eb3-a40c-50c3313f15d4,,,,,,,,,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_Materials,1,kenmerken.mpmschrijf,in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ink,,,,,,,,,,
00f12cb1-77cc-5eb3-a40c-50c3313f15d4,tg:mpmre:12_#1,e22_UsageRestrictions,,id/date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1623,open
