ResourceID,brocade.id,card,order,source_field,source_code,Production Technique Type,Product stadium,Keeper,Object Number,Object Identifier,source_date,Restriction Type
0028e38e-ac5f-50a5-89ac-8c390cbd429f,tg:mpmbr:714_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:714_#1,https://data.museumplantinmoretus.be/ark:/11975/0028e38e-ac5f-50a5-89ac-8c390cbd429f,,
0028e38e-ac5f-50a5-89ac-8c390cbd429f,tg:mpmbr:714_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0028e38e-ac5f-50a5-89ac-8c390cbd429f,tg:mpmbr:714_#1,e22_UsageRestrictions,,id/date,,,,,,,1639,open
002fd887-2306-5887-9741-476c2b9d43f6,tg:mpmbr:45_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:45_#1,https://data.museumplantinmoretus.be/ark:/11975/002fd887-2306-5887-9741-476c2b9d43f6,,
002fd887-2306-5887-9741-476c2b9d43f6,tg:mpmbr:45_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
002fd887-2306-5887-9741-476c2b9d43f6,tg:mpmbr:45_#1,e22_UsageRestrictions,,id/date,,,,,,,1664,open
00522edc-fc9d-5dbd-aa9c-89bebcbfe924,tg:mpmbr:180_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:180_#1,https://data.museumplantinmoretus.be/ark:/11975/00522edc-fc9d-5dbd-aa9c-89bebcbfe924,,
00522edc-fc9d-5dbd-aa9c-89bebcbfe924,tg:mpmbr:180_#1,e22_ProductStadiums,1,kenmerken.mpmorighs,con,,drafts (documents),,,,,
00522edc-fc9d-5dbd-aa9c-89bebcbfe924,tg:mpmbr:180_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
00522edc-fc9d-5dbd-aa9c-89bebcbfe924,tg:mpmbr:180_#1,e22_UsageRestrictions,,id/date,,,,,,,1595,open
0054463a-61df-5673-9870-21dcd49163ca,tg:mpmbr:1147_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1147_#1,https://data.museumplantinmoretus.be/ark:/11975/0054463a-61df-5673-9870-21dcd49163ca,,
0054463a-61df-5673-9870-21dcd49163ca,tg:mpmbr:1147_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0054463a-61df-5673-9870-21dcd49163ca,tg:mpmbr:1147_#1,e22_UsageRestrictions,,id/date,,,,,,,1677,open
00560e38-81ea-5d53-ad1a-8f71ebe92aef,tg:mpmbr:560_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:560_#1,https://data.museumplantinmoretus.be/ark:/11975/00560e38-81ea-5d53-ad1a-8f71ebe92aef,,
00560e38-81ea-5d53-ad1a-8f71ebe92aef,tg:mpmbr:560_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
00560e38-81ea-5d53-ad1a-8f71ebe92aef,tg:mpmbr:560_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
0137f7a6-0871-5f46-bb09-023a491b6cd9,tg:mpmbr:297_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:297_#1,https://data.museumplantinmoretus.be/ark:/11975/0137f7a6-0871-5f46-bb09-023a491b6cd9,,
0137f7a6-0871-5f46-bb09-023a491b6cd9,tg:mpmbr:297_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0137f7a6-0871-5f46-bb09-023a491b6cd9,tg:mpmbr:297_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
01481be8-d6ba-537b-9528-bd915f24cd15,tg:mpmbr:724_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:724_#1,https://data.museumplantinmoretus.be/ark:/11975/01481be8-d6ba-537b-9528-bd915f24cd15,,
01481be8-d6ba-537b-9528-bd915f24cd15,tg:mpmbr:724_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
01481be8-d6ba-537b-9528-bd915f24cd15,tg:mpmbr:724_#1,e22_UsageRestrictions,,id/date,,,,,,,1572,open
015e18a9-dd43-5515-996e-84e44e9ca317,tg:mpmbr:566_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:566_#1,https://data.museumplantinmoretus.be/ark:/11975/015e18a9-dd43-5515-996e-84e44e9ca317,,
015e18a9-dd43-5515-996e-84e44e9ca317,tg:mpmbr:566_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
015e18a9-dd43-5515-996e-84e44e9ca317,tg:mpmbr:566_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
01af6758-23f4-5ff7-8889-f9bb941a9cba,tg:mpmbr:1004_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1004_#1,https://data.museumplantinmoretus.be/ark:/11975/01af6758-23f4-5ff7-8889-f9bb941a9cba,,
01af6758-23f4-5ff7-8889-f9bb941a9cba,tg:mpmbr:1004_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
01af6758-23f4-5ff7-8889-f9bb941a9cba,tg:mpmbr:1004_#1,e22_UsageRestrictions,,id/date,,,,,,,1674,open
020dd1f0-02d1-50e9-9080-fceaf7a8602f,tg:mpmbr:380_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:380_#1,https://data.museumplantinmoretus.be/ark:/11975/020dd1f0-02d1-50e9-9080-fceaf7a8602f,,
020dd1f0-02d1-50e9-9080-fceaf7a8602f,tg:mpmbr:380_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
020dd1f0-02d1-50e9-9080-fceaf7a8602f,tg:mpmbr:380_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
0230e4ff-fad6-5f73-b9b4-49a480390cd4,tg:mpmbr:710_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:710_#1,https://data.museumplantinmoretus.be/ark:/11975/0230e4ff-fad6-5f73-b9b4-49a480390cd4,,
0230e4ff-fad6-5f73-b9b4-49a480390cd4,tg:mpmbr:710_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0230e4ff-fad6-5f73-b9b4-49a480390cd4,tg:mpmbr:710_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
0260ef4e-a37d-5b5a-99c6-5c3852325916,tg:mpmbr:838_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:838_#1,https://data.museumplantinmoretus.be/ark:/11975/0260ef4e-a37d-5b5a-99c6-5c3852325916,,
0260ef4e-a37d-5b5a-99c6-5c3852325916,tg:mpmbr:838_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0260ef4e-a37d-5b5a-99c6-5c3852325916,tg:mpmbr:838_#1,e22_UsageRestrictions,,id/date,,,,,,,1603,open
02fbfc53-415e-584e-8fc0-6f02c416e489,tg:mpmbr:1011_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1011_#1,https://data.museumplantinmoretus.be/ark:/11975/02fbfc53-415e-584e-8fc0-6f02c416e489,,
02fbfc53-415e-584e-8fc0-6f02c416e489,tg:mpmbr:1011_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
02fbfc53-415e-584e-8fc0-6f02c416e489,tg:mpmbr:1011_#1,e22_UsageRestrictions,,id/date,,,,,,,1674,open
03177d7e-57d8-5b9d-b252-e0b16e90799f,tg:mpmbr:165_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:165_#1,https://data.museumplantinmoretus.be/ark:/11975/03177d7e-57d8-5b9d-b252-e0b16e90799f,,
03177d7e-57d8-5b9d-b252-e0b16e90799f,tg:mpmbr:165_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
03177d7e-57d8-5b9d-b252-e0b16e90799f,tg:mpmbr:165_#1,e22_UsageRestrictions,,id/date,,,,,,,1580,open
034bf8bb-4ace-5e5e-aa2f-a16f575687e3,tg:mpmbr:1203_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1203_#1,https://data.museumplantinmoretus.be/ark:/11975/034bf8bb-4ace-5e5e-aa2f-a16f575687e3,,
034bf8bb-4ace-5e5e-aa2f-a16f575687e3,tg:mpmbr:1203_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
034bf8bb-4ace-5e5e-aa2f-a16f575687e3,tg:mpmbr:1203_#1,e22_UsageRestrictions,,id/date,,,,,,,1678,open
037b8808-7886-50bc-a5a1-b5c19e0df90c,tg:mpmbr:44_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:44_#1,https://data.museumplantinmoretus.be/ark:/11975/037b8808-7886-50bc-a5a1-b5c19e0df90c,,
037b8808-7886-50bc-a5a1-b5c19e0df90c,tg:mpmbr:44_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
037b8808-7886-50bc-a5a1-b5c19e0df90c,tg:mpmbr:44_#1,e22_UsageRestrictions,,id/date,,,,,,,1664,open
0384f3ab-cfbd-510a-9f89-a482e241ef30,tg:mpmbr:1222_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1222_#1,https://data.museumplantinmoretus.be/ark:/11975/0384f3ab-cfbd-510a-9f89-a482e241ef30,,
0384f3ab-cfbd-510a-9f89-a482e241ef30,tg:mpmbr:1222_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0384f3ab-cfbd-510a-9f89-a482e241ef30,tg:mpmbr:1222_#1,e22_UsageRestrictions,,id/date,,,,,,,1678,open
03c298fb-59c9-58cc-aca1-6de3c6d00318,tg:mpmbr:983_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:983_#1,https://data.museumplantinmoretus.be/ark:/11975/03c298fb-59c9-58cc-aca1-6de3c6d00318,,
03c298fb-59c9-58cc-aca1-6de3c6d00318,tg:mpmbr:983_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
03c298fb-59c9-58cc-aca1-6de3c6d00318,tg:mpmbr:983_#1,e22_UsageRestrictions,,id/date,,,,,,,1673,open
03c5ac21-aa7f-505c-af6c-d6f05bf958d4,tg:mpmbr:228_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:228_#1,https://data.museumplantinmoretus.be/ark:/11975/03c5ac21-aa7f-505c-af6c-d6f05bf958d4,,
03c5ac21-aa7f-505c-af6c-d6f05bf958d4,tg:mpmbr:228_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
03c5ac21-aa7f-505c-af6c-d6f05bf958d4,tg:mpmbr:228_#1,e22_UsageRestrictions,,id/date,,,,,,,1800,open
0420ed22-b0a3-5eff-af23-c19b76ba32b9,tg:mpmbr:179_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:179_#1,https://data.museumplantinmoretus.be/ark:/11975/0420ed22-b0a3-5eff-af23-c19b76ba32b9,,
0420ed22-b0a3-5eff-af23-c19b76ba32b9,tg:mpmbr:179_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0420ed22-b0a3-5eff-af23-c19b76ba32b9,tg:mpmbr:179_#1,e22_UsageRestrictions,,id/date,,,,,,,1603,open
04230f25-52c5-5af6-9c89-5ab4b332c89a,tg:mpmbr:739_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:739_#1,https://data.museumplantinmoretus.be/ark:/11975/04230f25-52c5-5af6-9c89-5ab4b332c89a,,
04230f25-52c5-5af6-9c89-5ab4b332c89a,tg:mpmbr:739_#1,e22_ProductStadiums,1,kenmerken.mpmorighs,con,,drafts (documents),,,,,
04230f25-52c5-5af6-9c89-5ab4b332c89a,tg:mpmbr:739_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
04230f25-52c5-5af6-9c89-5ab4b332c89a,tg:mpmbr:739_#1,e22_UsageRestrictions,,id/date,,,,,,,1596,open
04e55407-fe7f-5838-9d25-f042c05a7781,tg:mpmbr:323_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:323_#1,https://data.museumplantinmoretus.be/ark:/11975/04e55407-fe7f-5838-9d25-f042c05a7781,,
04e55407-fe7f-5838-9d25-f042c05a7781,tg:mpmbr:323_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
04e55407-fe7f-5838-9d25-f042c05a7781,tg:mpmbr:323_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
05130872-801c-53ab-a400-1c551fe2bda2,tg:mpmbr:564_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:564_#1,https://data.museumplantinmoretus.be/ark:/11975/05130872-801c-53ab-a400-1c551fe2bda2,,
05130872-801c-53ab-a400-1c551fe2bda2,tg:mpmbr:564_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
05130872-801c-53ab-a400-1c551fe2bda2,tg:mpmbr:564_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
059fd182-0562-58b3-abd5-094deb1b3cd5,tg:mpmbr:1142_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1142_#1,https://data.museumplantinmoretus.be/ark:/11975/059fd182-0562-58b3-abd5-094deb1b3cd5,,
059fd182-0562-58b3-abd5-094deb1b3cd5,tg:mpmbr:1142_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
059fd182-0562-58b3-abd5-094deb1b3cd5,tg:mpmbr:1142_#1,e22_UsageRestrictions,,id/date,,,,,,,1677,open
05b1d00e-6b4a-508c-9167-109ea3d79dfc,tg:mpmbr:712_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:712_#1,https://data.museumplantinmoretus.be/ark:/11975/05b1d00e-6b4a-508c-9167-109ea3d79dfc,,
05b1d00e-6b4a-508c-9167-109ea3d79dfc,tg:mpmbr:712_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
05b1d00e-6b4a-508c-9167-109ea3d79dfc,tg:mpmbr:712_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
05e7ef35-b41b-5327-a82a-f6a25bdff3db,tg:mpmbr:249_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:249_#1,https://data.museumplantinmoretus.be/ark:/11975/05e7ef35-b41b-5327-a82a-f6a25bdff3db,,
05e7ef35-b41b-5327-a82a-f6a25bdff3db,tg:mpmbr:249_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
05e7ef35-b41b-5327-a82a-f6a25bdff3db,tg:mpmbr:249_#1,e22_UsageRestrictions,,id/date,,,,,,,1637,open
0675bab6-ef33-54fa-bda8-a0f624ce6b1d,tg:mpmbr:667_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:667_#1,https://data.museumplantinmoretus.be/ark:/11975/0675bab6-ef33-54fa-bda8-a0f624ce6b1d,,
0675bab6-ef33-54fa-bda8-a0f624ce6b1d,tg:mpmbr:667_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0675bab6-ef33-54fa-bda8-a0f624ce6b1d,tg:mpmbr:667_#1,e22_UsageRestrictions,,id/date,,,,,,,1592,open
0682f952-5dc4-53da-b5ac-242a2d9ec9bc,tg:mpmbr:308_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:308_#1,https://data.museumplantinmoretus.be/ark:/11975/0682f952-5dc4-53da-b5ac-242a2d9ec9bc,,
0682f952-5dc4-53da-b5ac-242a2d9ec9bc,tg:mpmbr:308_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0682f952-5dc4-53da-b5ac-242a2d9ec9bc,tg:mpmbr:308_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
06c1ae7b-bfb5-5344-968c-3daa65e980b4,tg:mpmbr:181_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:181_#1,https://data.museumplantinmoretus.be/ark:/11975/06c1ae7b-bfb5-5344-968c-3daa65e980b4,,
06c1ae7b-bfb5-5344-968c-3daa65e980b4,tg:mpmbr:181_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
06c1ae7b-bfb5-5344-968c-3daa65e980b4,tg:mpmbr:181_#1,e22_UsageRestrictions,,id/date,,,,,,,1638,open
06fc0336-b5d8-5a1a-a216-2d9b4fec34a1,tg:mpmbr:242_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:242_#1,https://data.museumplantinmoretus.be/ark:/11975/06fc0336-b5d8-5a1a-a216-2d9b4fec34a1,,
06fc0336-b5d8-5a1a-a216-2d9b4fec34a1,tg:mpmbr:242_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
06fc0336-b5d8-5a1a-a216-2d9b4fec34a1,tg:mpmbr:242_#1,e22_UsageRestrictions,,id/date,,,,,,,1637,open
0762dfe8-27f9-50f3-a005-a777dc18b2ec,tg:mpmbr:630_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:630_#1,https://data.museumplantinmoretus.be/ark:/11975/0762dfe8-27f9-50f3-a005-a777dc18b2ec,,
0762dfe8-27f9-50f3-a005-a777dc18b2ec,tg:mpmbr:630_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0762dfe8-27f9-50f3-a005-a777dc18b2ec,tg:mpmbr:630_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
0766ea86-1cdf-53e9-8a7d-758f83fb7e05,tg:mpmbr:915_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:915_#1,https://data.museumplantinmoretus.be/ark:/11975/0766ea86-1cdf-53e9-8a7d-758f83fb7e05,,
0766ea86-1cdf-53e9-8a7d-758f83fb7e05,tg:mpmbr:915_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0766ea86-1cdf-53e9-8a7d-758f83fb7e05,tg:mpmbr:915_#1,e22_UsageRestrictions,,id/date,,,,,,,1572,open
077fa865-3ce7-5945-b8a3-4efa11f59a28,tg:mpmbr:154_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:154_#1,https://data.museumplantinmoretus.be/ark:/11975/077fa865-3ce7-5945-b8a3-4efa11f59a28,,
077fa865-3ce7-5945-b8a3-4efa11f59a28,tg:mpmbr:154_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
077fa865-3ce7-5945-b8a3-4efa11f59a28,tg:mpmbr:154_#1,e22_UsageRestrictions,,id/date,,,,,,,1593,open
07c67b0c-06b6-5987-941c-9aafb4ef3ccf,tg:mpmbr:232_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:232_#1,https://data.museumplantinmoretus.be/ark:/11975/07c67b0c-06b6-5987-941c-9aafb4ef3ccf,,
07c67b0c-06b6-5987-941c-9aafb4ef3ccf,tg:mpmbr:232_#1,e22_ProductStadiums,1,kenmerken.mpmorighs,con,,drafts (documents),,,,,
07c67b0c-06b6-5987-941c-9aafb4ef3ccf,tg:mpmbr:232_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
07c67b0c-06b6-5987-941c-9aafb4ef3ccf,tg:mpmbr:232_#1,e22_UsageRestrictions,,id/date,,,,,,,1677,open
08338d43-d6c4-5783-a677-ce8bf6eef79d,tg:mpmbr:219_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:219_#1,https://data.museumplantinmoretus.be/ark:/11975/08338d43-d6c4-5783-a677-ce8bf6eef79d,,
08338d43-d6c4-5783-a677-ce8bf6eef79d,tg:mpmbr:219_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
08338d43-d6c4-5783-a677-ce8bf6eef79d,tg:mpmbr:219_#1,e22_UsageRestrictions,,id/date,,,,,,,1783,open
083efdb7-5735-5cfb-9ac7-47078da128bb,tg:mpmbr:1033_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1033_#1,https://data.museumplantinmoretus.be/ark:/11975/083efdb7-5735-5cfb-9ac7-47078da128bb,,
083efdb7-5735-5cfb-9ac7-47078da128bb,tg:mpmbr:1033_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
083efdb7-5735-5cfb-9ac7-47078da128bb,tg:mpmbr:1033_#1,e22_UsageRestrictions,,id/date,,,,,,,1675,open
0883e749-0133-5a9a-a637-da4d35122ba5,tg:mpmbr:810_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:810_#1,https://data.museumplantinmoretus.be/ark:/11975/0883e749-0133-5a9a-a637-da4d35122ba5,,
0883e749-0133-5a9a-a637-da4d35122ba5,tg:mpmbr:810_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0883e749-0133-5a9a-a637-da4d35122ba5,tg:mpmbr:810_#1,e22_UsageRestrictions,,id/date,,,,,,,1594,open
08f0685f-e06f-5d1b-b5ad-d13f159998a8,tg:mpmbr:480_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:480_#1,https://data.museumplantinmoretus.be/ark:/11975/08f0685f-e06f-5d1b-b5ad-d13f159998a8,,
08f0685f-e06f-5d1b-b5ad-d13f159998a8,tg:mpmbr:480_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
08f0685f-e06f-5d1b-b5ad-d13f159998a8,tg:mpmbr:480_#1,e22_UsageRestrictions,,id/date,,,,,,,1639,open
092d11ff-969f-5651-bbbc-c72e2a6299e6,tg:mpmbr:144_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:144_#1,https://data.museumplantinmoretus.be/ark:/11975/092d11ff-969f-5651-bbbc-c72e2a6299e6,,
092d11ff-969f-5651-bbbc-c72e2a6299e6,tg:mpmbr:144_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
092d11ff-969f-5651-bbbc-c72e2a6299e6,tg:mpmbr:144_#1,e22_UsageRestrictions,,id/date,,,,,,,1587,open
09618d9c-d2af-5b1f-8652-0711aa4651d5,tg:mpmbr:108_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:108_#1,https://data.museumplantinmoretus.be/ark:/11975/09618d9c-d2af-5b1f-8652-0711aa4651d5,,
09618d9c-d2af-5b1f-8652-0711aa4651d5,tg:mpmbr:108_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
09618d9c-d2af-5b1f-8652-0711aa4651d5,tg:mpmbr:108_#1,e22_UsageRestrictions,,id/date,,,,,,,1681,open
096211c7-3945-5013-90bd-6194035ba1f8,tg:mpmbr:263_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:263_#1,https://data.museumplantinmoretus.be/ark:/11975/096211c7-3945-5013-90bd-6194035ba1f8,,
096211c7-3945-5013-90bd-6194035ba1f8,tg:mpmbr:263_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
096211c7-3945-5013-90bd-6194035ba1f8,tg:mpmbr:263_#1,e22_UsageRestrictions,,id/date,,,,,,,1637,open
09732970-6c06-5274-94ce-194205bd9633,tg:mpmbr:645_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:645_#1,https://data.museumplantinmoretus.be/ark:/11975/09732970-6c06-5274-94ce-194205bd9633,,
09732970-6c06-5274-94ce-194205bd9633,tg:mpmbr:645_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
09732970-6c06-5274-94ce-194205bd9633,tg:mpmbr:645_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
0af5d97c-07e0-5485-8f2d-3d4cf943770d,tg:mpmbr:1244_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:1244_#1,https://data.museumplantinmoretus.be/ark:/11975/0af5d97c-07e0-5485-8f2d-3d4cf943770d,,
0af5d97c-07e0-5485-8f2d-3d4cf943770d,tg:mpmbr:1244_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0af5d97c-07e0-5485-8f2d-3d4cf943770d,tg:mpmbr:1244_#1,e22_UsageRestrictions,,id/date,,,,,,,1662,open
0b28d578-2914-575d-af01-3ec28367058e,tg:mpmbr:563_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:563_#1,https://data.museumplantinmoretus.be/ark:/11975/0b28d578-2914-575d-af01-3ec28367058e,,
0b28d578-2914-575d-af01-3ec28367058e,tg:mpmbr:563_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0b28d578-2914-575d-af01-3ec28367058e,tg:mpmbr:563_#1,e22_UsageRestrictions,,id/date,,,,,,,1640,open
0b68a2fc-be5d-5627-95f6-6076119774ef,tg:mpmbr:15_#1,AA,0,,,,,Museum Plantin-Moretus,tg:mpmbr:15_#1,https://data.museumplantinmoretus.be/ark:/11975/0b68a2fc-be5d-5627-95f6-6076119774ef,,
0b68a2fc-be5d-5627-95f6-6076119774ef,tg:mpmbr:15_#1,e22_ProductionTechniques,1,kenmerken.mpmtypohs,hs,handwriting,,,,,,
0b68a2fc-be5d-5627-95f6-6076119774ef,tg:mpmbr:15_#1,e22_UsageRestrictions,,id/date,,,,,,,1778,open
