ResourceID,brocade.id,card,order,source_field,Creation Place Note,Creation Place Note Type,Creation Place Note Language,place_au_code,Creation Place Widget
a1a62dd7-888c-5852-bc7a-be4f1155f8ad,tg:mpmph:83,Places,1,id/place.place,[Brussel],remarks,Nederlands,,
ec155823-5b37-5cd0-81b6-32f91ae379ad,tg:mpmph:93,Places,1,id/place.place,[Amsterdam],remarks,Nederlands,,
d5c19f67-3719-52d5-9e0f-b7768c9639da,tg:mpmph:103,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
b779d048-874d-5380-96a7-853bb262031e,tg:mpmph:15,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
d3c74a90-9b57-55dd-8e93-fdfabc918202,tg:mpmph:67,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
5ca9f8d1-8de9-54c6-b967-9cced4c58b77,tg:mpmph:96,Places,1,id/place.place,[Leiden],remarks,Nederlands,,
91de6a95-e16d-528e-b083-0aa0ec667874,tg:mpmph:86,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
d4acb776-c4b3-5fbe-afd9-fcdf48785a6a,tg:mpmph:106,Places,1,id/place.place,[Amsterdam],remarks,Nederlands,,
839033c8-e69d-5629-948b-144adfab957f,tg:mpmph:11,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
aff69bb9-ae90-59e5-a7dd-3293d880f3f3,tg:mpmph:63,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
e379bea5-acc2-56b7-b925-c86833e5e0f7,tg:mpmph:87,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
532f07c7-65a3-5877-b8df-10a360ea13db,tg:mpmph:97,Places,1,id/place.place,[Leiden],remarks,Nederlands,,
f1acf235-9a61-5cf4-b3ee-4201be5ae731,tg:mpmph:107,Places,1,id/place.place,[Antwerpen],remarks,Nederlands,,
de60bf3e-8106-5377-b9d7-dfd48da0c477,tg:mpmph:13,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
39449520-06f0-5e6b-99f2-6e8304614e49,tg:mpmph:105,Places,1,id/place.place,[Brussel],remarks,Nederlands,,
722b81be-58eb-5ee1-afb2-fd90e1f689e0,tg:mpmph:95,Places,1,id/place.place,['s-Gravenhage],remarks,Nederlands,,
b4a763ce-8d74-5371-8c61-5f1e51af8da7,tg:mpmph:85,Places,1,id/place.place,['s-Gravenhage] / [Amsterdam],remarks,Nederlands,,
43fae41d-2b9c-5b34-b10c-e558dc89ae43,tg:mpmph:12,Places,1,id/place.place,,,,au::100141,"dlod={""name"":""Antwerpen (Arrondissement Antwerpen)"",""ark"":""ark:/83110/x0/81ac4db9-1e25-55a3-9b28-97c03f96b4ab"",""uri"":""/subjects/10715087"",""id"":""au::100141"",""isCapacity"":false,""orgID"":""digipolis"",""suggestType"":""place""}"
163fb131-447e-56b5-90ad-d131f8b511ed,tg:mpmph:104,Places,1,id/place.place,[Haarlem],remarks,Nederlands,,
0432b71a-5ff1-5f3f-a50a-2ddd4ba64778,tg:mpmph:84,Places,1,id/place.place,[Brussel],remarks,Nederlands,,
a62d28af-de06-5e81-bafa-e0ad618874e4,tg:mpmph:94,Places,1,id/place.place,[Leiden],remarks,Nederlands,,
