ResourceID,card,mmb_id,order,source_field,External Relation URL Prefix,External Relation URL,External Relation,External Relation URL Type,Language,ResourceID_mat,mmb_id_mat,Material Records,source_date,Copyright Type,Copyright Revision Date,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Title Type,Title,Title Language,Record Type,Description Type,Description Language,Description
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,object identifier,tg:mmbdc:130,record identifiers,MMB.A.1665,constructed titles,"Overeenkomst tussen Fritz Mayer van den Bergh en Lambrechts, tapijtrestaurateur, voor de restauratie van een wandtapijt voorstellende de Geboorte van Jezus",Dutch (language),Documenten,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_Copyrights,tg:mmbdc:130,,begindatum,,,,,,,,,1893,No Known Copyright,2008,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_ExternalRelations,tg:mmbdc:130,g_o_1,gerelateerde objecten,http://adlib.internetserver.mmbonline.webservice,/api/wwwopac.ashx?database=collect.inf&command=selectrecord&object_number=MMB.0954,gerelateerd object,uniform resource locators,,,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
0ac5d3fd-d2ef-5f6a-a72e-c679cb451f11,e73_MaterialRecords,tg:mmbdc:130,1,,,,,,,2259aad3-ca05-5180-a684-1726b89be913,tg:mmbdc:130_#1,"[{""resourceId"": ""2259aad3-ca05-5180-a684-1726b89be913"", ""ontologyProperty"": """", ""resourceXresourceId"": ""93579018-9872-46a7-94ae-3240e3d68677"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,object identifier,tg:mmbdc:70,record identifiers,MMB.A.1461,constructed titles,Rekening medische benodigdheden voor de Sint Henricusstichting,Dutch (language),Documenten,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_Copyrights,tg:mmbdc:70,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
0b0fc7f1-eb05-50c6-82d7-dfdafe7ae780,e73_MaterialRecords,tg:mmbdc:70,1,,,,,,,d6a0a077-1ab3-5f47-a310-14e003d32cb5,tg:mmbdc:70_#1,"[{""resourceId"": ""d6a0a077-1ab3-5f47-a310-14e003d32cb5"", ""ontologyProperty"": """", ""resourceXresourceId"": ""b4325527-d356-4955-aa08-52218662ca4e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0cdf7c18-ded1-5edb-8553-1f9a4750c805,object identifier,tg:mmbdc:150,record identifiers,MMB.A.2489,titles proper,"Van Mieris, Guillaume. Le galant malhonnête",French (language),Documenten,descriptive note,Nederlands,Ontwerptekst voor de catalogus schilderijen 1909
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_Copyrights,tg:mmbdc:150,,begindatum,,,,,,,,,1904,No Known Copyright,2019,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
0cdf7c18-ded1-5edb-8553-1f9a4750c805,e73_MaterialRecords,tg:mmbdc:150,1,,,,,,,c68a31e5-f476-5ff8-8953-265daa26d392,tg:mmbdc:150_#1,"[{""resourceId"": ""c68a31e5-f476-5ff8-8953-265daa26d392"", ""ontologyProperty"": """", ""resourceXresourceId"": ""f2aeb887-eae0-48a5-b9e5-a66e8363da7d"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/0e36645d-5a76-578b-b102-2e9a72d2d391,object identifier,tg:mmbdc:134,record identifiers,MMB.A.1670,constructed titles,Ontvangstbewijs zilveren werken,Dutch (language),Documenten,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_Copyrights,tg:mmbdc:134,,begindatum,,,,,,,,,1898,No Known Copyright,2013,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
0e36645d-5a76-578b-b102-2e9a72d2d391,e73_MaterialRecords,tg:mmbdc:134,1,,,,,,,268e406e-6525-5782-b2da-0d76cc8657b3,tg:mmbdc:134_#1,"[{""resourceId"": ""268e406e-6525-5782-b2da-0d76cc8657b3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""4dd4dca5-a42d-4e48-b4b2-77295bd5f2f5"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/108756f8-64b4-506a-9f98-ceb3ef00390d,object identifier,tg:mmbdc:66,record identifiers,MMB.A.1457,constructed titles,Rekening medische instrumenten voor de Sint Henricusstichting,Dutch (language),Documenten,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_Copyrights,tg:mmbdc:66,,begindatum,,,,,,,,,1905,No Known Copyright,2020,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
108756f8-64b4-506a-9f98-ceb3ef00390d,e73_MaterialRecords,tg:mmbdc:66,1,,,,,,,acb05eb8-b42c-54e5-8ebe-ee2cce55dae0,tg:mmbdc:66_#1,"[{""resourceId"": ""acb05eb8-b42c-54e5-8ebe-ee2cce55dae0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fc6819c9-8450-4b24-975c-7911fcd19c12"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/11be8398-f75a-5694-b7b2-2b0eedf24850,object identifier,tg:mmbdc:9,record identifiers,MMB.A.1197,constructed titles,Doodsbrief Henriëtte Mayer van den Bergh,Dutch (language),Documenten,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_Copyrights,tg:mmbdc:9,,begindatum,,,,,,,,,1920,In Copyright,2035,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
11be8398-f75a-5694-b7b2-2b0eedf24850,e73_MaterialRecords,tg:mmbdc:9,1,,,,,,,ec82374f-68ed-587e-89c7-8d657c97fad2,tg:mmbdc:9_#1,"[{""resourceId"": ""ec82374f-68ed-587e-89c7-8d657c97fad2"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2cef362d-d1b9-43bb-a7e3-f2aab7d6fe8e"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1383d707-43bc-571d-919e-7f0dd9994e4f,object identifier,tg:mmbdc:82,record identifiers,MMB.A.1475,constructed titles,Rekening smeedwerk voor de Sint Fredericusstichting,Dutch (language),Documenten,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_Copyrights,tg:mmbdc:82,,begindatum,,,,,,,,,1916,In Copyright,2031,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1383d707-43bc-571d-919e-7f0dd9994e4f,e73_MaterialRecords,tg:mmbdc:82,1,,,,,,,55732d1a-e5f9-5ffc-9bc5-97984bfefac1,tg:mmbdc:82_#1,"[{""resourceId"": ""55732d1a-e5f9-5ffc-9bc5-97984bfefac1"", ""ontologyProperty"": """", ""resourceXresourceId"": ""0e49e327-f1d1-4887-a903-7171f09a921c"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1509a781-cb9d-5760-8b8f-607e96b7195c,object identifier,tg:mmbdc:7,record identifiers,MMB.A.1195,constructed titles,Doodsbrief Henriëtte Rosalie Mayer van den Bergh,Dutch (language),Documenten,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,e73_Copyrights,tg:mmbdc:7,,begindatum,,,,,,,,,1892,No Copyright - Public Domain Mark 1.0,2007,,,,,,,,,,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
1509a781-cb9d-5760-8b8f-607e96b7195c,e73_MaterialRecords,tg:mmbdc:7,1,,,,,,,66461767-c6e9-5183-8ed0-53031e25ab9c,tg:mmbdc:7_#1,"[{""resourceId"": ""66461767-c6e9-5183-8ed0-53031e25ab9c"", ""ontologyProperty"": """", ""resourceXresourceId"": ""6a0d2b08-3c7a-4645-baef-9dacfc5cdc52"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,object identifier,tg:mmbdc:60,record identifiers,MMB.A.1368,constructed titles,Toespraak ter ere van de feestdag van Sint Henricus,Dutch (language),Documenten,,,
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,e73_Copyrights,tg:mmbdc:60,,begindatum,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1719c64c-fa7a-5d5f-bdc5-798537c2c9d6,e73_MaterialRecords,tg:mmbdc:60,1,,,,,,,af8ff991-c2ca-5569-8728-ffec3363ebe3,tg:mmbdc:60_#1,"[{""resourceId"": ""af8ff991-c2ca-5569-8728-ffec3363ebe3"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d639d16b-499f-433f-8d5d-efe43309aa30"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,object identifier,tg:mmbdc:49,record identifiers,MMB.A.1289,constructed titles,Foto van de façade van het Museum Mayer van den Bergh met annotaties,Dutch (language),Documenten,,,
1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,e73_Copyrights,tg:mmbdc:49,,begindatum,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,
1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
1aaa7628-6013-5f5f-8c5a-9dfcf6969bfd,e73_MaterialRecords,tg:mmbdc:49,1,,,,,,,5bed484c-6203-5738-ab11-d2a351f9c38b,tg:mmbdc:49_#1,"[{""resourceId"": ""5bed484c-6203-5738-ab11-d2a351f9c38b"", ""ontologyProperty"": """", ""resourceXresourceId"": ""edcfd5cb-12ae-49b8-a420-776102ff1783"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1c082e15-3131-5b39-acf3-ee112d00ed57,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1c082e15-3131-5b39-acf3-ee112d00ed57,object identifier,tg:mmbdc:40,record identifiers,MMB.A.1270,constructed titles,"Verslag van de zitting die plaatsvond in de 'Pastorije Sinte Walborgh, in de wijk ghenaemt 't Oudt-Antwerpen'",Dutch (language),Documenten,,,
1c082e15-3131-5b39-acf3-ee112d00ed57,e73_Copyrights,tg:mmbdc:40,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,,,,
1c082e15-3131-5b39-acf3-ee112d00ed57,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1c082e15-3131-5b39-acf3-ee112d00ed57,e73_MaterialRecords,tg:mmbdc:40,1,,,,,,,32978923-1776-5392-b89e-cc52eb4e7cbf,tg:mmbdc:40_#1,"[{""resourceId"": ""32978923-1776-5392-b89e-cc52eb4e7cbf"", ""ontologyProperty"": """", ""resourceXresourceId"": ""fa315099-8135-4a59-8631-ccd69b246901"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,object identifier,tg:mmbdc:92,record identifiers,MMB.A.1486,constructed titles,"Uitgaven: Rekeningen, ontvangstbewijzen en notities in verband met de Sint Henricusstichting",Dutch (language),Documenten,,,
1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,e73_Copyrights,tg:mmbdc:92,,begindatum,,,,,,,,,1905,No Known Copyright,2020,,,,,,,,,,,,
1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
1dcfac86-1f00-5ba0-b1ca-397f4af38b4a,e73_MaterialRecords,tg:mmbdc:92,1,,,,,,,da93969a-9b2d-57cb-b7a5-a5095b55d562,tg:mmbdc:92_#1,"[{""resourceId"": ""da93969a-9b2d-57cb-b7a5-a5095b55d562"", ""ontologyProperty"": """", ""resourceXresourceId"": ""d2c5a02d-9be2-434e-933c-04b234e5d59a"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
1fddab6b-2c01-53f7-afb9-56fa14f7bfa9,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/1fddab6b-2c01-53f7-afb9-56fa14f7bfa9,object identifier,tg:mmbdc:166,record identifiers,MMB.A.2551,constructed titles,Balboekje van Fritz Mayer van den Bergh,Dutch (language),Documenten,,,
1fddab6b-2c01-53f7-afb9-56fa14f7bfa9,e73_Copyrights,tg:mmbdc:166,,begindatum,,,,,,,,,uuuu,Copyright Undetermined,,,,,,,,,,,,,
1fddab6b-2c01-53f7-afb9-56fa14f7bfa9,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
1fddab6b-2c01-53f7-afb9-56fa14f7bfa9,e73_MaterialRecords,tg:mmbdc:166,1,,,,,,,8737cb46-3ec3-5166-ae7e-a061a35c47ad,tg:mmbdc:166_#1,"[{""resourceId"": ""8737cb46-3ec3-5166-ae7e-a061a35c47ad"", ""ontologyProperty"": """", ""resourceXresourceId"": ""c10c0d8e-5b51-4155-a180-1e1463b4f8ba"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
20e5efa0-b6f2-53b0-acb0-bef59eaaa558,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/20e5efa0-b6f2-53b0-acb0-bef59eaaa558,object identifier,tg:mmbdc:18,record identifiers,MMB.A.1206,constructed titles,Bidprentje Rosalie Pauline Hippolyte du Bois d'Aische,Dutch (language),Documenten,,,
20e5efa0-b6f2-53b0-acb0-bef59eaaa558,e73_Copyrights,tg:mmbdc:18,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,,,,
20e5efa0-b6f2-53b0-acb0-bef59eaaa558,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
20e5efa0-b6f2-53b0-acb0-bef59eaaa558,e73_MaterialRecords,tg:mmbdc:18,1,,,,,,,9a28002b-ba44-5e42-8248-4056ae98f698,tg:mmbdc:18_#1,"[{""resourceId"": ""9a28002b-ba44-5e42-8248-4056ae98f698"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2d6f1b24-3041-4be7-a2b3-d8b286f27732"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,object identifier,tg:mmbdc:22,record identifiers,MMB.A.1210,constructed titles,Bidprentje Isabelle van den Bergh,Dutch (language),Documenten,,,
21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,e73_Copyrights,tg:mmbdc:22,,begindatum,,,,,,,,,1857,No Copyright - Public Domain Mark 1.0,1972,,,,,,,,,,,,
21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
21cd3fc7-ee0d-50a7-a0c1-1b451066fb8b,e73_MaterialRecords,tg:mmbdc:22,1,,,,,,,b4440dbe-bb57-5d79-a39a-05a615a74af0,tg:mmbdc:22_#1,"[{""resourceId"": ""b4440dbe-bb57-5d79-a39a-05a615a74af0"", ""ontologyProperty"": """", ""resourceXresourceId"": ""322e89df-13e3-49ff-8e23-a3c532b3bb97"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
221ba7d8-01a9-5a18-9fec-a8fa0e47f940,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/221ba7d8-01a9-5a18-9fec-a8fa0e47f940,object identifier,tg:mmbdc:13,record identifiers,MMB.A.1201,constructed titles,Bidprentje Constantin van den Bergh,Dutch (language),Documenten,,,
221ba7d8-01a9-5a18-9fec-a8fa0e47f940,e73_Copyrights,tg:mmbdc:13,,begindatum,,,,,,,,,1894,No Known Copyright,2009,,,,,,,,,,,,
221ba7d8-01a9-5a18-9fec-a8fa0e47f940,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
221ba7d8-01a9-5a18-9fec-a8fa0e47f940,e73_MaterialRecords,tg:mmbdc:13,1,,,,,,,a760ecdc-ffd1-5020-9188-01fab16e8d7e,tg:mmbdc:13_#1,"[{""resourceId"": ""a760ecdc-ffd1-5020-9188-01fab16e8d7e"", ""ontologyProperty"": """", ""resourceXresourceId"": ""dea4e26b-6c09-473c-8161-7637d28ecc03"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
22d8d29b-a2be-5a50-b646-5de42555bc3a,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/22d8d29b-a2be-5a50-b646-5de42555bc3a,object identifier,tg:mmbdc:81,record identifiers,MMB.A.1474,constructed titles,Rekening kerkboek voor de Sint Henricusstichting,Dutch (language),Documenten,,,
22d8d29b-a2be-5a50-b646-5de42555bc3a,e73_Copyrights,tg:mmbdc:81,,begindatum,,,,,,,,,1916,In Copyright,2031,,,,,,,,,,,,
22d8d29b-a2be-5a50-b646-5de42555bc3a,e73_Languages,,,taal 1,,,,,Dutch (language),,,,,,,,,,,,,,,,,,
22d8d29b-a2be-5a50-b646-5de42555bc3a,e73_MaterialRecords,tg:mmbdc:81,1,,,,,,,848c767a-5e09-568d-84ac-2171a43ef2ff,tg:mmbdc:81_#1,"[{""resourceId"": ""848c767a-5e09-568d-84ac-2171a43ef2ff"", ""ontologyProperty"": """", ""resourceXresourceId"": ""9970906c-d0d4-46e7-ba9d-3490b5862503"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
230878f7-6c43-5063-ac62-5939a323cfba,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/230878f7-6c43-5063-ac62-5939a323cfba,object identifier,tg:mmbdc:137,record identifiers,MMB.A.2342,constructed titles,Krantenknipsel: Bezoek aan het museum door de leden van de 'Société pour la protection des sites et monuments',Dutch (language),Documenten,,,
230878f7-6c43-5063-ac62-5939a323cfba,e73_Copyrights,tg:mmbdc:137,,begindatum,,,,,,,,,1910,In Copyright,2025,,,,,,,,,,,,
230878f7-6c43-5063-ac62-5939a323cfba,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
230878f7-6c43-5063-ac62-5939a323cfba,e73_MaterialRecords,tg:mmbdc:137,1,,,,,,,c24c51bc-954c-51b8-943a-199225d8e520,tg:mmbdc:137_#1,"[{""resourceId"": ""c24c51bc-954c-51b8-943a-199225d8e520"", ""ontologyProperty"": """", ""resourceXresourceId"": ""2986f06e-fd05-40d0-8e85-3ccadaf2ba4b"", ""inverseOntologyProperty"": """"}]",,,,,,,,,,,,,,,
239f6f57-5465-5c0a-a8f1-5e868780d35a,AA,,0,,,,,,,,,,,,,https://data.museummayervandenbergh.be/ark:/59511/239f6f57-5465-5c0a-a8f1-5e868780d35a,object identifier,tg:mmbdc:89,record identifiers,MMB.A.1483,constructed titles,Notitie: Ereloon aalmoezenier,Dutch (language),Documenten,,,
239f6f57-5465-5c0a-a8f1-5e868780d35a,e73_Copyrights,tg:mmbdc:89,,begindatum,,,,,,,,,,Copyright Undetermined,,,,,,,,,,,,,
239f6f57-5465-5c0a-a8f1-5e868780d35a,e73_Languages,,,taal 1,,,,,French (language),,,,,,,,,,,,,,,,,,
