ResourceID,mmb_id_mat,card,order,Archive Brocade ID,Archive Widget,source_value,Dimension Value,Dimension Type,Dimension Measurement Unit,Image URL,Image Manifest,Image Manifest Type,Image URL Type,au_code,au_name,Production Actor Role,Production Actor Widget,Start Date,End Date,source_field,source_date,Restriction Type,Keeper,Object Number,Object Number Type,Object Identifier,Warehouse Location (begin),Material,Carrier Type,Material Colour,Other Identifier Type,Other Identifier,Annotation Type,Annotation Language,Annotation
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/d1YAbXmRksRcBlTBgRxitwjL,https://dams.antwerpen.be/iiif/d1YAbXmRksRcBlTBgRxitwjL/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
287ab2f1-1e3e-523c-8ce2-6eb4dfc46c9b,tg:mmbtk:12_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:16_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/292606a5-1be4-5872-bb12-380aca0a3397,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2515,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/R1TTMhwnOHNpBfTKKfvWxLiB,https://dams.antwerpen.be/iiif/R1TTMhwnOHNpBfTKKfvWxLiB/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
292606a5-1be4-5872-bb12-380aca0a3397,tg:mmbtk:16_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:14_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/317599d4-a3a1-5874-b430-d720f5e9cb97,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2513,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/d1tiChgUNVWXRWrcRRoVHVk7,https://dams.antwerpen.be/iiif/d1tiChgUNVWXRWrcRRoVHVk7/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
317599d4-a3a1-5874-b430-d720f5e9cb97,tg:mmbtk:14_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:7_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/35b55d11-ef04-56ae-aadb-ba1cc68d2d17,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2506,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/F1jTDLWqGZXldchSWJpCHSn3,https://dams.antwerpen.be/iiif/F1jTDLWqGZXldchSWJpCHSn3/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
35b55d11-ef04-56ae-aadb-ba1cc68d2d17,tg:mmbtk:7_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:18_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/44b787db-6025-590f-a670-526337c10576,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2517,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/faSZKKYtUMOgWZKWs2oGfxnv,https://dams.antwerpen.be/iiif/faSZKKYtUMOgWZKWs2oGfxnv/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
44b787db-6025-590f-a670-526337c10576,tg:mmbtk:18_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:3_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/6058ac12-8ccc-5f78-ac7d-04e06094ff1b,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2502,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/sNZREXPPJXHTZccfToSs5Dd8,https://dams.antwerpen.be/iiif/sNZREXPPJXHTZccfToSs5Dd8/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
6058ac12-8ccc-5f78-ac7d-04e06094ff1b,tg:mmbtk:3_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:19_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/78f7334c-e93c-5795-bfdf-95ba8090a9d8,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2518,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/J1vuUWTEhaPSNjcjWjNhHSVi,https://dams.antwerpen.be/iiif/J1vuUWTEhaPSNjcjWjNhHSVi/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
78f7334c-e93c-5795-bfdf-95ba8090a9d8,tg:mmbtk:19_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:13_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2512,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/h2UGHGOMBRnpUZKYmpXIM4zP,https://dams.antwerpen.be/iiif/h2UGHGOMBRnpUZKYmpXIM4zP/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
7953fcdc-c96d-5178-b6cd-3f96cd0f0e24,tg:mmbtk:13_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:2_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/89c086ae-dea1-57c1-864e-cba0dc1fbc8f,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2501,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/z2qUZWhjBRHOOXXP4ZkrS3C9,https://dams.antwerpen.be/iiif/z2qUZWhjBRHOOXXP4ZkrS3C9/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_ProductionActors,1,,,,,,,,,,,au::115207:1,"Mayer van den Bergh, Henriëtte",authors,"dlod={""suggest"":[""/agents/people/12220362"",""au::115207"",""au::115207:1"",""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""Henriëtte Mayer van den Bergh""],""name"":""Henriëtte Mayer van den Bergh"",""ark"":""ark:/83110/x0/40bc60cd-eeb9-5d4a-88b2-e164ea534a59"",""uri"":""/agents/people/12220362"",""id"":""au::115207:1"",""isCapacity"":false}",,,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_ProductionTimeSpans,1,,,,,,,,,,,,,,,1850-uu-uu,1858-uu-uu,,,,,,,,,,,,,,,,
89c086ae-dea1-57c1-864e-cba0dc1fbc8f,tg:mmbtk:2_#1,e22_UsageRestrictions,,,,,,,,,,,,,,,,,,begindatum,1850,open,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,AA,0,,,,,,,,,,,,,,,,,,,,Museum Mayer van den Bergh,tg:mmbtk:8_#1,record identifiers,https://data.museummayervandenbergh.be/ark:/59511/a354aeff-1559-5ca2-b8f8-e6a27f1ae270,Doos XIX,ink,paper (fiber product),black (color),record identifiers,MMB.A.2507,remarks,Nederlands,Getekend links onder Henriette Vandenbergh. Tekeningen MMB.A.2501-MMB.A.2518 oorspronkelijk opgeborgen in een blauwe omslag met opschrift Melle Henriette Van den Berg de la part de Melle [...] Lacroix (MMB.A.2519)
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_Archives,1,MMB.A.I.E.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,e22_Dimensions,,,,211 x 264 mm,211,hoogte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,,e22_Dimensions,,,,211 x 264 mm,264,breedte,millimeters,,,,,,,,,,,,,,,,,,,,,,,,,,
a354aeff-1559-5ca2-b8f8-e6a27f1ae270,tg:mmbtk:8_#1,e22_Images,1,,,,,,,https://dams.antwerpen.be/asset/lPIFQRb67KChKlqIhebpESCQ,https://dams.antwerpen.be/iiif/lPIFQRb67KChKlqIhebpESCQ/manifest,DAMS Manifest,DAMS Image,,,,,,,,,,,,,,,,,,,,,,
