ResourceID,card,order,Object Identifier,Object Number Type,Object Number,Other Identifier Type,Other Identifier,Description Type,Description Language,Description,Record Type
f9444421-69f1-5f84-b4de-81709dd1ad3a,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f9444421-69f1-5f84-b4de-81709dd1ad3a,object identifier,tg:mmbbr:1645,record identifiers,MMB.A.1645,descriptive note,Nederlands,"Inlinchtingen over aankopen in Parijs: een albasten sculptuur (15de eeuw), twee reliëfs in notenhout (Duits, school van Albrecht Dürer) [Mauch, Marteldood van Catharina en Catharina begraven door engelen], en over een Spaans beeldhouwwerk (St. Michaël, terracotta, beschilderd en verguld, 15de eeuw) dat te koop is bij Stanislas Baron 28, rue Grange-Batelière, Parijs. Dank voor het advies om een zittende vrouwenfiguur te kopen [Ecclesia of Barbara], en over een statuette van St. Pieter.",Brieven
15ba2f17-7c39-576d-9624-8c2466ee53e3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/15ba2f17-7c39-576d-9624-8c2466ee53e3,object identifier,tg:mmbbr:1646,record identifiers,MMB.A.1646,descriptive note,Nederlands,Vraag om advies over twee dolken die Fritz werden aangeboden,Brieven
33488051-8dd5-50f6-a419-219ae1c03436,AA,0,https://data.museummayervandenbergh.be/ark:/59511/33488051-8dd5-50f6-a419-219ae1c03436,object identifier,tg:mmbbr:2537,record identifiers,MMB.A.2537,descriptive note,Nederlands,De vraag of er plaats is in de loge om de opening van het theater bij te wonen omdat zijn dochter Lucie hem wil vergezellen,Brieven
d6d6d0bc-ad90-544f-ac68-cf55ea45d4a4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d6d6d0bc-ad90-544f-ac68-cf55ea45d4a4,object identifier,tg:mmbbr:2538,record identifiers,MMB.A.2538,descriptive note,Nederlands,Bedanking voor de eer om een handtekening te vragen.,Brieven
edbbcd41-0cfc-5d1d-897a-3250066999a0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/edbbcd41-0cfc-5d1d-897a-3250066999a0,object identifier,tg:mmbbr:2539,record identifiers,MMB.A.2539,descriptive note,Nederlands,Hij stuurt haar een handtekening van Henri Leys en verontschuldigt zich voor het niet hebben gevonden van degene die 'een interessante mening over de fresco's van het stadhuis' noemde. Hij stuurt tevens een handtekening door Charles Rogier.,Brieven
8c20518f-4b96-5830-89f0-bca6ca8328c3,AA,0,https://data.museummayervandenbergh.be/ark:/59511/8c20518f-4b96-5830-89f0-bca6ca8328c3,object identifier,tg:mmbbr:2540,record identifiers,MMB.A.2540,descriptive note,Nederlands,Een gunstig antwoord van de minister van Justitie over Dr M. 'auquel notre ami Loos et vous vous portez intérêt',Brieven
2b5dbcef-e3e6-59aa-94ea-308d57b0ef2c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2b5dbcef-e3e6-59aa-94ea-308d57b0ef2c,object identifier,tg:mmbbr:2541,record identifiers,MMB.A.2541,descriptive note,Nederlands,Vier brieven van Jozef Van Lerius: Positieve reacties op een dineruitnodiging van de Mayer van den Berghs (ongedateerd; 30 januari; 25 december; 28 januari),Brieven
ca6f1b8f-80ed-5de5-9906-79a999cf2155,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ca6f1b8f-80ed-5de5-9906-79a999cf2155,object identifier,tg:mmbbr:2542,record identifiers,MMB.A.2542,descriptive note,Nederlands,Hij wil het schilderij afmaken en vraagt hem wanneer hij en zijn zonen beschikbaar zijn,Brieven
5d757215-d910-53b2-81cf-4d1518b3592d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/5d757215-d910-53b2-81cf-4d1518b3592d,object identifier,tg:mmbbr:2543,record identifiers,MMB.A.2543,descriptive note,Nederlands,"Drie ongedateerde brieven van Karel Verlat: 1) Hij wijst een uitnodiging voor een diner af; 2) hij bezoekt haar liever 's middags dan voor de diner waarvoor hij is uitgenodigd. Madame de Witte della Faille wiens portret hij schilderde, wil hem thuis bezoeken omdat ze het schilderij wil zien voordat het naar de Antwerpse tentoonstelling vertrekt; 3) hij verontschuldigt zich voor het niet beantwoorden van zijn brief en slaat een uitnodiging af omdat hij de dag doorbrengt met zijn vriend De Munck die op het concert van de grote harmonie speelt",Brieven
4e6358fd-11e3-5251-ab7d-90eea01d38c1,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4e6358fd-11e3-5251-ab7d-90eea01d38c1,object identifier,tg:mmbbr:2544,record identifiers,MMB.A.2544,descriptive note,Nederlands,"De witmarmeren kariatide waarover hij haar vertelde, is klaar. Hij nodigt haar en haar zonen uit om hem te komen bezoeken en het resultaat te bekijken: ""Je serai bien charmé d'entendre votre appréciation sur le résultat de mon travail""",Brieven
12d7283a-bd25-5788-8e96-18afb55e0529,AA,0,https://data.museummayervandenbergh.be/ark:/59511/12d7283a-bd25-5788-8e96-18afb55e0529,object identifier,tg:mmbbr:2545,record identifiers,MMB.A.2545,descriptive note,Nederlands,"Dans les circonstances périlleuses, ce qu'il y a de plus prudent c'est d'être courageux'",Brieven
66ffda5f-c3b3-5947-8924-6fee7751192f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/66ffda5f-c3b3-5947-8924-6fee7751192f,object identifier,tg:mmbbr:2546,record identifiers,MMB.A.2546,descriptive note,Nederlands,Twee brieven van Joseph Oliver Andries: 1) De boekhandelaar Vyt vertelde hem dat een door Alexander Farnese ondertekende document betreffende de stad Middelburg door haar was gekocht. Al meer dan 30 jaar verzamelt hij documenten over de geschiedenis van deze plaats en vraagt hem daarom om een kopie tegen vergoeding (23 november 1874); 2) hij bedankt haar dat ze haar zonen heeft gevraagd hem het origineel [van het document] te sturen (13 december 1874),Brieven
75c348f5-8141-5650-aff9-fa488aa048de,AA,0,https://data.museummayervandenbergh.be/ark:/59511/75c348f5-8141-5650-aff9-fa488aa048de,object identifier,tg:mmbbr:2547,record identifiers,MMB.A.2547,descriptive note,Nederlands,Bedanking voor de hulp bij het organiseren van de tentoonstelling in de lokalen van de Cercle gewijd aan van Lerius en voor het uitlenen van een schilderij,Brieven
052e6e88-8c3b-5624-9bb5-96f192471e83,AA,0,https://data.museummayervandenbergh.be/ark:/59511/052e6e88-8c3b-5624-9bb5-96f192471e83,object identifier,tg:mmbbr:2548,record identifiers,MMB.A.2548,descriptive note,Nederlands,"Hij bedankt haar dat ze hem heeft verteld dat sommige mensen zijn openbare leven hebben gewaardeerd en enige achting voor hem hebben behouden. 'La lettre beaucoup trop flatteuse que vous m'écrivez me parviens dans ma retraite, ou je taches [sic] d'oublier des luttes dans lesquelle je n'ai eu d'autres mérite que celui de faire mon devoir d'honnete homme et de patriote.'",Brieven
70cf22c0-d89d-5ac3-9670-3f354c523390,AA,0,https://data.museummayervandenbergh.be/ark:/59511/70cf22c0-d89d-5ac3-9670-3f354c523390,object identifier,tg:mmbbr:2549,record identifiers,MMB.A.2549,descriptive note,Nederlands,Hij stuurt zijn handtekening aan 'Mademoiselle' van den Bergh,Brieven
ef441917-ec66-5dfb-81dc-38f0ecd4ce39,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ef441917-ec66-5dfb-81dc-38f0ecd4ce39,object identifier,tg:mmbbr:2522,record identifiers,MMB.A.2522,descriptive note,Nederlands,"Bedankt Henriëtte voor haar interesse in zijn werk en stuurt haar het gedicht 'Souvenirs et visions, Rome mars 1850'",Brieven
1920c57b-9033-5162-88bd-b696bb6a5631,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1920c57b-9033-5162-88bd-b696bb6a5631,object identifier,tg:mmbbr:2523,record identifiers,MMB.A.2523,descriptive note,Nederlands,vriendschappelijke brief over persoonlijke aangelegenheden,Brieven
9acf985d-752a-559c-a669-50b29525ad93,AA,0,https://data.museummayervandenbergh.be/ark:/59511/9acf985d-752a-559c-a669-50b29525ad93,object identifier,tg:mmbbr:2524,record identifiers,MMB.A.2524,descriptive note,Nederlands,vriendschappelijke brief over persoonlijke aangelegenheden,Brieven
0aeeb8af-8370-5206-9425-e6f0051df86b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0aeeb8af-8370-5206-9425-e6f0051df86b,object identifier,tg:mmbbr:2525,record identifiers,MMB.A.2525,descriptive note,Nederlands,kaartje met naam ‘Jan Franz Meynen’ en handtekening van Hiller,Brieven
91348b3a-ac3e-54e1-8b68-e27fdaf9fd67,AA,0,https://data.museummayervandenbergh.be/ark:/59511/91348b3a-ac3e-54e1-8b68-e27fdaf9fd67,object identifier,tg:mmbbr:2526,record identifiers,MMB.A.2526,,,,Brieven
cd051d07-5b27-57ae-9e1d-b4050f02ee1d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/cd051d07-5b27-57ae-9e1d-b4050f02ee1d,object identifier,tg:mmbbr:2527,record identifiers,MMB.A.2527,descriptive note,Nederlands,Envelope met het handschrift van Döllinger. Op de achterkant van de enveloppe latere notitie in een ander handschrift ‘Cette adresse a été écrite par Döllinger’ ,Brieven
a380cd2a-a437-5cee-afaf-bedd5f100314,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a380cd2a-a437-5cee-afaf-bedd5f100314,object identifier,tg:mmbbr:2528,record identifiers,MMB.A.2528,descriptive note,Nederlands,"visitekaartje van Otto von Wittgenstein met notitie over foto’s en fotografen; en brieffragment ondertekend door von Hummer, gedateerd 1872",Brieven
3d3aa8c3-74af-598c-b2ef-faf2f0b14ea6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/3d3aa8c3-74af-598c-b2ef-faf2f0b14ea6,object identifier,tg:mmbbr:2529,record identifiers,MMB.A.2529,descriptive note,Nederlands,handtekening,Brieven
2b3ed7bc-2d9a-5387-8920-b577e2c1a1cc,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2b3ed7bc-2d9a-5387-8920-b577e2c1a1cc,object identifier,tg:mmbbr:2530,record identifiers,MMB.A.2530,descriptive note,Nederlands,brieffragment met handtekening,Brieven
557d8927-2ab9-59a0-bc4b-007137dac68f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/557d8927-2ab9-59a0-bc4b-007137dac68f,object identifier,tg:mmbbr:2531,record identifiers,MMB.A.2531,descriptive note,Nederlands,handtekening,Brieven
974d8792-1798-5f8c-b991-eaf9f7744145,AA,0,https://data.museummayervandenbergh.be/ark:/59511/974d8792-1798-5f8c-b991-eaf9f7744145,object identifier,tg:mmbbr:2532,record identifiers,MMB.A.2532,descriptive note,Nederlands,"handtekeningen van Reinkens en Reusch, en kort bericht op hetzelfde papier",Brieven
86255b42-dc97-5e9f-86f6-b0ae1272c809,AA,0,https://data.museummayervandenbergh.be/ark:/59511/86255b42-dc97-5e9f-86f6-b0ae1272c809,object identifier,tg:mmbbr:2533,record identifiers,MMB.A.2533,descriptive note,Nederlands,brieffragment met handtekening,Brieven
f23677be-b95f-5e53-9ddd-5a8feca17c0e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f23677be-b95f-5e53-9ddd-5a8feca17c0e,object identifier,tg:mmbbr:2534,record identifiers,MMB.A.2534,descriptive note,Nederlands,brieffragment met handtekening,Brieven
911f9409-234d-5510-b4a7-e1490de07ce7,AA,0,https://data.museummayervandenbergh.be/ark:/59511/911f9409-234d-5510-b4a7-e1490de07ce7,object identifier,tg:mmbbr:2535,record identifiers,MMB.A.2535,descriptive note,Nederlands,autograaf en kort bericht vanuit Posen,Brieven
6e29b545-baaf-57e3-aeea-9f00c1246ea6,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6e29b545-baaf-57e3-aeea-9f00c1246ea6,object identifier,tg:mmbbr:2536,record identifiers,MMB.A.2536,descriptive note,Nederlands,"brief met lithografie van het Grand Hotel Tarasp, Zwitserland, getekend door Auerbach en Czermak",Brieven
1159ed28-44e0-546b-9e8d-db9d42823551,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1159ed28-44e0-546b-9e8d-db9d42823551,object identifier,tg:mmbbr:1571,record identifiers,MMB.A.1571,descriptive note,Nederlands,De betaling van Claes voor werken in verband met de catalogus munten en penningen,Brieven
1e96a0c0-803b-5770-a4d4-e695d1816068,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1e96a0c0-803b-5770-a4d4-e695d1816068,object identifier,tg:mmbbr:1572,record identifiers,MMB.A.1572,descriptive note,Nederlands,Akkoord met Emiel Dilis voor het opstellen van de catalogus munten en penningen,Brieven
543ba60a-a479-5d5f-8f44-c940bf76c053,AA,0,https://data.museummayervandenbergh.be/ark:/59511/543ba60a-a479-5d5f-8f44-c940bf76c053,object identifier,tg:mmbbr:1573,record identifiers,MMB.A.1573,descriptive note,Nederlands,In verband met het controleren van de catalogus munten en penningen door Henriëtte zelf,Brieven
f1e11d09-af0f-55b6-8e91-e34f192d5b3e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f1e11d09-af0f-55b6-8e91-e34f192d5b3e,object identifier,tg:mmbbr:1574,record identifiers,MMB.A.1574,descriptive note,Nederlands,In verband met de levering van catalogi,Brieven
075ddc49-40da-5149-ae64-2f29d2bd7da0,AA,0,https://data.museummayervandenbergh.be/ark:/59511/075ddc49-40da-5149-ae64-2f29d2bd7da0,object identifier,tg:mmbbr:1298,record identifiers,MMB.A.1298,descriptive note,Nederlands,Emmanuel de Meester aanvaardt het regentschap van de Sint Henricusstichting en de Sint Fredericusstichting,Brieven
dec16ab8-e817-51ef-8def-e0d37db8061c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/dec16ab8-e817-51ef-8def-e0d37db8061c,object identifier,tg:mmbbr:1299,record identifiers,MMB.A.1299,descriptive note,Nederlands,In verband met het verhuur van gronden,Brieven
acdfb538-8fdf-5a0a-a0b7-7b2cba15e105,AA,0,https://data.museummayervandenbergh.be/ark:/59511/acdfb538-8fdf-5a0a-a0b7-7b2cba15e105,object identifier,tg:mmbbr:1300,record identifiers,MMB.A.1300,descriptive note,Nederlands,In verband met het ontvangst van een brief en een afspraak,Brieven
f2a2bd6d-c8d9-56f1-ae67-fc32d994cf78,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f2a2bd6d-c8d9-56f1-ae67-fc32d994cf78,object identifier,tg:mmbbr:1302,record identifiers,MMB.A.1302,descriptive note,Nederlands,In verband met een aanvraag vtot een woning in de Sint Fredericusstichting,Brieven
a9de1662-c83e-5b0c-907e-4faeb6345855,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a9de1662-c83e-5b0c-907e-4faeb6345855,object identifier,tg:mmbbr:1303,record identifiers,MMB.A.1303,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
d85566e5-6243-5c39-bd62-36d57526d1d8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d85566e5-6243-5c39-bd62-36d57526d1d8,object identifier,tg:mmbbr:1304,record identifiers,MMB.A.1304,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
121425c2-ff79-537b-9978-e9a3c051f1bf,AA,0,https://data.museummayervandenbergh.be/ark:/59511/121425c2-ff79-537b-9978-e9a3c051f1bf,object identifier,tg:mmbbr:1305,record identifiers,MMB.A.1305,descriptive note,Nederlands,In verband met de Sint Fredericusstichting en twee koperen luchters in gotische stijl die ze aan de pastoor gaf,Brieven
e95cd2b2-ee51-58db-8285-2ede55414fe2,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e95cd2b2-ee51-58db-8285-2ede55414fe2,object identifier,tg:mmbbr:1306,record identifiers,MMB.A.1306,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
39a2e9b3-e2b4-5b9b-87a4-dc5b5a97705d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/39a2e9b3-e2b4-5b9b-87a4-dc5b5a97705d,object identifier,tg:mmbbr:1307,record identifiers,MMB.A.1307,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
7ce2b95b-7a11-56c7-848e-74b04ce47a98,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7ce2b95b-7a11-56c7-848e-74b04ce47a98,object identifier,tg:mmbbr:1309,record identifiers,MMB.A.1309,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
f1f0531b-7203-5d73-b84c-ed8b4f0159c4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f1f0531b-7203-5d73-b84c-ed8b4f0159c4,object identifier,tg:mmbbr:1310,record identifiers,MMB.A.1310,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
d9cf7f48-8245-57d5-863f-fe58e1e932d8,AA,0,https://data.museummayervandenbergh.be/ark:/59511/d9cf7f48-8245-57d5-863f-fe58e1e932d8,object identifier,tg:mmbbr:1311,record identifiers,MMB.A.1311,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
ea8d2bd4-55ad-591a-a421-fa6fca8bb4ab,AA,0,https://data.museummayervandenbergh.be/ark:/59511/ea8d2bd4-55ad-591a-a421-fa6fca8bb4ab,object identifier,tg:mmbbr:1312,record identifiers,MMB.A.1312,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
dd175a71-eec0-5da1-b768-58577b1607ef,AA,0,https://data.museummayervandenbergh.be/ark:/59511/dd175a71-eec0-5da1-b768-58577b1607ef,object identifier,tg:mmbbr:1313,record identifiers,MMB.A.1313,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
647985ab-2b07-55dc-93af-1acfb013edb4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/647985ab-2b07-55dc-93af-1acfb013edb4,object identifier,tg:mmbbr:1314,record identifiers,MMB.A.1314,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
a60bb7db-f45b-53eb-beb2-229d7ff77387,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a60bb7db-f45b-53eb-beb2-229d7ff77387,object identifier,tg:mmbbr:1315,record identifiers,MMB.A.1315,descriptive note,Nederlands,In verband met het uitvoeren van een aantal werken en de bouw van de toren van de kapel in het Sint Fredericusgesticht,Brieven
28a8e143-293c-5264-a153-ed30fbd7871d,AA,0,https://data.museummayervandenbergh.be/ark:/59511/28a8e143-293c-5264-a153-ed30fbd7871d,object identifier,tg:mmbbr:1316,record identifiers,MMB.A.1316,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
b92649c1-7a1c-53c7-9171-045352e3fb05,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b92649c1-7a1c-53c7-9171-045352e3fb05,object identifier,tg:mmbbr:1317,record identifiers,MMB.A.1317,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
037d03df-47bf-583f-bc64-f61fb89fbbab,AA,0,https://data.museummayervandenbergh.be/ark:/59511/037d03df-47bf-583f-bc64-f61fb89fbbab,object identifier,tg:mmbbr:1318,record identifiers,MMB.A.1318,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
1cdb973d-1764-5c2a-bc7a-7715bbcaa339,AA,0,https://data.museummayervandenbergh.be/ark:/59511/1cdb973d-1764-5c2a-bc7a-7715bbcaa339,object identifier,tg:mmbbr:1323,record identifiers,MMB.A.1323,descriptive note,Nederlands,In verband met de Sint Fredericusstichting,Brieven
89c295dc-cb12-55f4-9dce-19bf9e4159e9,AA,0,https://data.museummayervandenbergh.be/ark:/59511/89c295dc-cb12-55f4-9dce-19bf9e4159e9,object identifier,tg:mmbbr:1324,record identifiers,MMB.A.1324,descriptive note,Nederlands,In verband met de aanstelling van aalmoezenier voor de Sint Fredericusstichting,Brieven
7dd036cc-98c4-5043-9863-704f65844c4b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/7dd036cc-98c4-5043-9863-704f65844c4b,object identifier,tg:mmbbr:1325,record identifiers,MMB.A.1325,descriptive note,Nederlands,In verband met kandidatuur voor aalmoezenier voor de Sint Fredericusstichting,Brieven
b5d7dc0b-53a0-5193-b1c0-74b14840b9e4,AA,0,https://data.museummayervandenbergh.be/ark:/59511/b5d7dc0b-53a0-5193-b1c0-74b14840b9e4,object identifier,tg:mmbbr:1326,record identifiers,MMB.A.1326,descriptive note,Nederlands,In verband met de goedkeuring van aanstelling van Constant Mannekens als hulppriester voor de Sint Fredericusstichting,Brieven
6e68b574-4410-5062-80ed-538442f73529,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6e68b574-4410-5062-80ed-538442f73529,object identifier,tg:mmbbr:1327,record identifiers,MMB.A.1327,descriptive note,Nederlands,In verband met de aanstelling van aalmoezenier voor de Sint Fredericusstichting,Brieven
4e218205-00c7-507e-975e-ca3893223286,AA,0,https://data.museummayervandenbergh.be/ark:/59511/4e218205-00c7-507e-975e-ca3893223286,object identifier,tg:mmbbr:1328,record identifiers,MMB.A.1328,descriptive note,Nederlands,Bedanking voor het toezenden van de catalogus en in verband met de benoeming van een pastoor,Brieven
bf67e9d1-ab1b-5f9a-980a-c841f6365fdf,AA,0,https://data.museummayervandenbergh.be/ark:/59511/bf67e9d1-ab1b-5f9a-980a-c841f6365fdf,object identifier,tg:mmbbr:1329,record identifiers,MMB.A.1329,descriptive note,Nederlands,De hoop om worden aangesteld als hulppriester,Brieven
bcc24e9a-65d6-509a-afa3-959c15d3d91b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/bcc24e9a-65d6-509a-afa3-959c15d3d91b,object identifier,tg:mmbbr:1330,record identifiers,MMB.A.1330,descriptive note,Nederlands,In verband met de aanstelling van Constant Mannekens als hulppriester voor de Sint Fredericusstichting,Brieven
08a5db7b-4608-537f-a2af-92940158cc88,AA,0,https://data.museummayervandenbergh.be/ark:/59511/08a5db7b-4608-537f-a2af-92940158cc88,object identifier,tg:mmbbr:1331,record identifiers,MMB.A.1331,descriptive note,Nederlands,In verband met kandidatuur voor koster voor de Sint Fredericusstichting,Brieven
e191f7ae-e1c7-5f40-a240-ff87a2552deb,AA,0,https://data.museummayervandenbergh.be/ark:/59511/e191f7ae-e1c7-5f40-a240-ff87a2552deb,object identifier,tg:mmbbr:1332,record identifiers,MMB.A.1332,descriptive note,Nederlands,Aanvraag tot opname in een van de woningen van de Sint Fredericusstichting,Brieven
a53422e5-f057-5b55-a74e-5126040c707b,AA,0,https://data.museummayervandenbergh.be/ark:/59511/a53422e5-f057-5b55-a74e-5126040c707b,object identifier,tg:mmbbr:1333,record identifiers,MMB.A.1333,descriptive note,Nederlands,In verband met referenties van een familie Reypens die een aanvraag tot een woning gedaan heeft,Brieven
fb7d4981-1044-54b9-bfa6-16f1152c340c,AA,0,https://data.museummayervandenbergh.be/ark:/59511/fb7d4981-1044-54b9-bfa6-16f1152c340c,object identifier,tg:mmbbr:1334,record identifiers,MMB.A.1334,descriptive note,Nederlands,In verband met referenties van een familie Hesemans die een aanvraag tot een woning gedaan heeft,Brieven
0d0f47e4-90df-53b9-b79e-8596320c7d7f,AA,0,https://data.museummayervandenbergh.be/ark:/59511/0d0f47e4-90df-53b9-b79e-8596320c7d7f,object identifier,tg:mmbbr:1335,record identifiers,MMB.A.1335,descriptive note,Nederlands,In verband met referenties van een familie Hesemans die een aanvraag tot een woning gedaan heeft,Brieven
6692f882-e4f5-53f5-b909-340c5a54639e,AA,0,https://data.museummayervandenbergh.be/ark:/59511/6692f882-e4f5-53f5-b909-340c5a54639e,object identifier,tg:mmbbr:1336,record identifiers,MMB.A.1336,descriptive note,Nederlands,In verband met een aanvraag tot een woning in de Sint Fredericusstichting,Brieven
f1534e3e-a46a-559f-a811-2201470680b7,AA,0,https://data.museummayervandenbergh.be/ark:/59511/f1534e3e-a46a-559f-a811-2201470680b7,object identifier,tg:mmbbr:1337,record identifiers,MMB.A.1337,descriptive note,Nederlands,In verband met de aanbeveling van het echtpaar Cassiers-Smeesters een woning in de Sint Fredericusstichting,Brieven
cceaeb57-fe73-52ad-8564-cf1e2d042d61,AA,0,https://data.museummayervandenbergh.be/ark:/59511/cceaeb57-fe73-52ad-8564-cf1e2d042d61,object identifier,tg:mmbbr:1339,record identifiers,MMB.A.1339,descriptive note,Nederlands,In verband met een aanvraag tot een woning in de Sint Fredericusstichting,Brieven
2359d527-c390-5e83-93f2-ff3372529ecb,AA,0,https://data.museummayervandenbergh.be/ark:/59511/2359d527-c390-5e83-93f2-ff3372529ecb,object identifier,tg:mmbbr:1340,record identifiers,MMB.A.1340,descriptive note,Nederlands,Negatief antwoord op de aanvraag tot een woning in de Sint Fredericusstichting van het echtpaar Maesshalck-Wagemans,Brieven
