ResourceID,brocade.id,card,Other Identifier,Other Identifier Type
68106e4f-be68-51a7-97e0-c6456c4d65cb,tg:mpmre:593_#1,e22_OtherIdentifiers,SCH HF BA 213,repository numbers
f6b252de-2304-591a-b276-4bd0bac50ca5,tg:mpmre:577_#1,e22_OtherIdentifiers,SCH HF FA 24,repository numbers
39ffbc9d-5e70-5d28-91fc-547e80551166,tg:mpmre:611_#1,e22_OtherIdentifiers,SCH HF BA 239,repository numbers
45ea2b8a-d32c-5db2-8382-8f633136719c,tg:mpmre:601_#1,e22_OtherIdentifiers,SCH HF BA 216,repository numbers
0eeecc39-bc98-55ba-b8fa-6c295dee17dc,tg:mpmre:614_#1,e22_OtherIdentifiers,SCH HF BA 242,repository numbers
2b9e177d-e9f7-5c5d-9134-7f6585a04673,tg:mpmre:586_#1,e22_OtherIdentifiers,SCH HF BA 207,repository numbers
9766deff-8bfa-5181-823c-f8ea63435409,tg:mpmre:622_#1,e22_OtherIdentifiers,SCH HF BA 251,repository numbers
cc50b801-9dc5-5e37-99b5-18f1a7afcc63,tg:mpmre:623_#1,e22_OtherIdentifiers,SCH HF BA 252,repository numbers
863465b2-9830-5450-b432-83be7c243441,tg:mpmre:615_#1,e22_OtherIdentifiers,SCH HF BA 244,repository numbers
ebe17af3-91bc-5062-acfc-ff0ba092e8e5,tg:mpmre:578_#1,e22_OtherIdentifiers,SCH HF FA 40,repository numbers
dd2fbd7c-e619-5cec-84e5-c7c62e3cc9a8,tg:mpmre:621_#1,e22_OtherIdentifiers,SCH HF BA 250,repository numbers
925b8f08-cc03-56cd-997c-4690f6eee231,tg:mpmre:607_#1,e22_OtherIdentifiers,SCH HF BA 236,repository numbers
2337bfea-82e0-5552-b9fa-4f4734f19850,tg:mpmre:617_#1,e22_OtherIdentifiers,SCH HF BA 246,repository numbers
8d1f6ac1-0c2a-5727-92c1-83dfc48dd772,tg:mpmre:628_#1,e22_OtherIdentifiers,SCH HF BA 257,repository numbers
b5124704-7d09-5069-9d07-c2c24e63b7f0,tg:mpmre:585_#1,e22_OtherIdentifiers,SCH HF BA 206,repository numbers
c25159eb-3461-5422-86f2-ee16f4ac4468,tg:mpmre:616_#1,e22_OtherIdentifiers,SCH HF BA 245,repository numbers
f3f7bc56-26a9-5756-819d-21941e8cfd85,tg:mpmre:606_#1,e22_OtherIdentifiers,SCH HF BA 235,repository numbers
148ef68e-5c88-55b9-b18a-618652e39766,tg:mpmre:629_#1,e22_OtherIdentifiers,SCH HF BA 258,repository numbers
0b1faadc-4b03-5c7b-a8e1-985711942d61,tg:mpmre:584_#1,e22_OtherIdentifiers,SCH HF BA 205,repository numbers
f06d7a61-da1e-5285-9220-7e72772607d0,tg:mpmre:579_#1,e22_OtherIdentifiers,SCH HF BA 204,repository numbers
302b172e-c9fd-5268-b527-251b424abe72,tg:mpmre:630_#1,e22_OtherIdentifiers,SCH HF BA 259,repository numbers
34516b65-b33e-5a82-878d-ced1de0566e1,tg:mpmre:620_#1,e22_OtherIdentifiers,SCH HF BA 249,repository numbers
