ResourceID,card,order,source_field,Legacy Information Value (nl),Legacy Information Type,Legacy Information Published
b7844246-831e-5339-bb8e-494ce76fca52,e73_LegacyInformation,1,brocade.id,tg:mpmtk:33,brocade id,False
b7844246-831e-5339-bb8e-494ce76fca52,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:33/N,brocade url,False
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000004,referentienummer,False
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,e73_LegacyInformation,1,brocade.id,tg:mpmtk:15,brocade id,False
c008cae5-11d7-55fc-a4da-bfa7b15b2cd7,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:15/N,brocade url,False
f2a88090-8fa8-59c3-a946-6065c95ecdcb,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/218,referentienummer,False
f2a88090-8fa8-59c3-a946-6065c95ecdcb,e73_LegacyInformation,1,brocade.id,tg:mpmtk:19,brocade id,False
f2a88090-8fa8-59c3-a946-6065c95ecdcb,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:19/N,brocade url,False
7179bdd9-690d-53ab-a1bf-99848c8138b2,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000019,referentienummer,False
7179bdd9-690d-53ab-a1bf-99848c8138b2,e73_LegacyInformation,1,brocade.id,tg:mpmtk:36,brocade id,False
7179bdd9-690d-53ab-a1bf-99848c8138b2,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:36/N,brocade url,False
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000010,referentienummer,False
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,e73_LegacyInformation,1,brocade.id,tg:mpmtk:26,brocade id,False
ad8839e6-3553-5f26-9c38-c52a8ec05cb8,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:26/N,brocade url,False
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000011,referentienummer,False
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,e73_LegacyInformation,1,brocade.id,tg:mpmtk:27,brocade id,False
7dc335bd-9eef-53fc-a51a-5d83bf6ee9b7,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:27/N,brocade url,False
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000020,referentienummer,False
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,e73_LegacyInformation,1,brocade.id,tg:mpmtk:37,brocade id,False
74b9c944-ebb8-5b59-8018-fd6f0bdd6a26,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:37/N,brocade url,False
3d7a61cb-2404-5110-ae89-8b5ff60be96b,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000003,referentienummer,False
3d7a61cb-2404-5110-ae89-8b5ff60be96b,e73_LegacyInformation,1,brocade.id,tg:mpmtk:11,brocade id,False
3d7a61cb-2404-5110-ae89-8b5ff60be96b,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:11/N,brocade url,False
f9f1deb6-85f5-53d9-b775-253f66648d52,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000018,referentienummer,False
f9f1deb6-85f5-53d9-b775-253f66648d52,e73_LegacyInformation,1,brocade.id,tg:mpmtk:35,brocade id,False
f9f1deb6-85f5-53d9-b775-253f66648d52,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:35/N,brocade url,False
251d4f80-80c8-5190-a8e5-e63866de74cd,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000009,referentienummer,False
251d4f80-80c8-5190-a8e5-e63866de74cd,e73_LegacyInformation,1,brocade.id,tg:mpmtk:24,brocade id,False
251d4f80-80c8-5190-a8e5-e63866de74cd,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:24/N,brocade url,False
5355e3fa-7908-52d1-9652-e164ac0c8c43,e73_LegacyInformation,0,id.objectNumber,BE-ANN00/tk/000000017,referentienummer,False
5355e3fa-7908-52d1-9652-e164ac0c8c43,e73_LegacyInformation,1,brocade.id,tg:mpmtk:34,brocade id,False
5355e3fa-7908-52d1-9652-e164ac0c8c43,e73_LegacyInformation,1,brocade.url,https://anet.be/record/opacmpmobj/tg:mpmtk:34/N,brocade url,False
